ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
15332.dat,15,White,15332,1,White,15332,15332,6047813,6615529,2026,7,,yes,,0.36,FENCE 1X4X2 W. 4 KNOBS,"likely (current, listed 2022)"
2417.dat,2,Dark Green,2417,6,Green,2417,2417,6266968,241728 4613823,2026,33,,yes,,0.19,LIMB ELEMENT,"likely (current, listed 2022)"
24201.dat,15,White,24201,1,White,24201,24201,6172927,,2026,90,,,,,,likely (in current sets)
2431.dat,15,White,2431,1,White,2431,2431,243101,6548255,2026,193,,yes,,0.13,FLAT TILE 1X4,"likely (current, listed 2022)"
2431.dat,72,Dark Stone Grey,2431,85,Dark Bluish Gray,2431,2431,4211053,,2026,126,,yes,,0.13,FLAT TILE 1X4,"likely (current, listed 2022)"
2445.dat,72,Dark Stone Grey,2445,85,Dark Bluish Gray,2445,2445,4211067,,2026,77,,yes,,0.35,PLATE 2X12,"likely (current, listed 2022)"
24866.dat,4,Bright Red,24866,5,Red,24866,24866,6206148,,2026,80,,yes,,0.06,FLOWER 1X1,"likely (current, listed 2022)"
3004.dat,0,Black,3004,11,Black,3004,3004,300426,,2026,198,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3004.dat,15,White,3004,1,White,3004,3004,300401,4613964 6548257,2026,249,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3004.dat,226,Cool Yellow,3004,103,Bright Light Yellow,3004,3004,6022083,6014504,2026,41,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3004.dat,288,Earth Green,3004,80,Dark Green,3004,3004,4245570,6618072,2026,29,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3005.dat,0,Black,3005,11,Black,3005,3005,300526,,2026,200,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,15,White,3005,1,White,3005,3005,300501,300551 6548258 6552096,2026,234,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,19,Brick Yellow,3005,2,Tan,3005,3005,4113915,300505,2026,137,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,70,Reddish Brown,3005,88,Reddish Brown,3005,3005,4211242,,2026,130,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,72,Dark Stone Grey,3005,85,Dark Bluish Gray,3005,3005,4211098,,2026,142,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,226,Cool Yellow,3005,103,Bright Light Yellow,3005,3005,6022084,6014502,2026,21,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,288,Earth Green,3005,80,Dark Green,3005,3005,4521915,4271434 4496290 6618073,2026,28,yes,,0.07,,BRICK 1X1,listed on Pick a Brick (2025)
3008.dat,15,White,3008,1,White,3008,3008,300801,6550134,2026,66,,yes,,0.29,BRICK 1X8,"likely (current, listed 2022)"
3008.dat,19,Brick Yellow,3008,2,Tan,3008,3008,4159774,300805 4114080 4124002,2026,52,,yes,,0.29,BRICK 1X8,"likely (current, listed 2022)"
3009.dat,15,White,3009,1,White,3009,3009,300901,300951 6548259 6552097,2026,134,,yes,,0.25,BRICK 1X6,"likely (current, listed 2022)"
3009.dat,72,Dark Stone Grey,3009,85,Dark Bluish Gray,3009,3009,4211100,,2026,84,,yes,,0.25,BRICK 1X6,"likely (current, listed 2022)"
3010.dat,15,White,3010,1,White,3010,3010,301001,6550135,2026,186,yes,yes,0.16,0.15,BRICK 1X4,listed on Pick a Brick (2025)
3010.dat,19,Brick Yellow,3010,2,Tan,3010,3010,4113916,301005,2026,133,yes,yes,0.16,0.15,BRICK 1X4,listed on Pick a Brick (2025)
3010.dat,70,Reddish Brown,3010,88,Reddish Brown,3010,3010,4211225,,2026,89,yes,yes,0.16,0.15,BRICK 1X4,listed on Pick a Brick (2025)
3010.dat,288,Earth Green,3010,80,Dark Green,3010,3010,4245571,6618074,2026,23,yes,yes,0.16,0.15,BRICK 1X4,listed on Pick a Brick (2025)
3020.dat,2,Dark Green,3020,6,Green,3020,3020,302028,,2026,106,yes,yes,0.14,0.14,PLATE 2X4,listed on Pick a Brick (2025)
3020.dat,15,White,3020,1,White,3020,3020,302001,6552098,2026,315,yes,yes,0.14,0.14,PLATE 2X4,listed on Pick a Brick (2025)
3021.dat,2,Dark Green,3021,6,Green,3021,3021,302128,,2026,81,,yes,,0.14,PLATE 2X3,"likely (current, listed 2022)"
3021.dat,15,White,3021,1,White,3021,3021,302101,6550136,2026,285,,yes,,0.14,PLATE 2X3,"likely (current, listed 2022)"
3021.dat,71,Medium Stone Grey,3021,86,Light Bluish Gray,3021,3021,4211396,,2026,243,,yes,,0.14,PLATE 2X3,"likely (current, listed 2022)"
3021.dat,72,Dark Stone Grey,3021,85,Dark Bluish Gray,3021,3021,4211043,,2026,226,,yes,,0.14,PLATE 2X3,"likely (current, listed 2022)"
3022.dat,2,Dark Green,3022,6,Green,3022,3022,302228,,2026,102,yes,yes,0.09,0.11,PLATE 2X2,listed on Pick a Brick (2025)
3022.dat,70,Reddish Brown,3022,88,Reddish Brown,3022,3022,4216695,4613975,2026,195,yes,yes,0.09,0.11,PLATE 2X2,listed on Pick a Brick (2025)
3023b.dat,2,Dark Green,3023,6,Green,3023,3023,302328,,2026,158,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3023b.dat,70,Reddish Brown,3023,88,Reddish Brown,3023,3023,4211150,,2026,264,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3024.dat,2,Dark Green,3024,6,Green,3024,3024,302428,,2026,82,yes,yes,0.05,0.06,PLATE 1X1,listed on Pick a Brick (2025)
3024.dat,15,White,3024,1,White,3024,3024,302401,6548262,2026,338,yes,yes,0.05,0.06,PLATE 1X1,listed on Pick a Brick (2025)
3024.dat,72,Dark Stone Grey,3024,85,Dark Bluish Gray,3024,3024,4210719,,2026,197,yes,yes,0.05,0.06,PLATE 1X1,listed on Pick a Brick (2025)
3028.dat,71,Medium Stone Grey,3028,86,Light Bluish Gray,3028,3028,4211400,,2026,13,,yes,,1.34,PLATE 6X12,"likely (current, listed 2022)"
