Section,Element ID,Quantity,Description,LEGO colour
"Grounds, porte-cochere, flowers and flags",366623,8,Plate 1 x 6,Bright Blue
"Grounds, porte-cochere, flowers and flags",6182261,95,Plant Plate Round 1 x 1 with 3 Leaves,Bright Green
"Grounds, porte-cochere, flowers and flags",6206148,93,Plant Flower 1 x 1,Bright Red
"Grounds, porte-cochere, flowers and flags",306921,1,Tile 1 x 2,Bright Red
"Grounds, porte-cochere, flowers and flags",4113858,1,Tile 1 x 6,Bright Red
"Grounds, porte-cochere, flowers and flags",416221,5,Tile 1 x 8,Bright Red
"Grounds, porte-cochere, flowers and flags",302428,13,Plate 1 x 1,Dark Green
"Grounds, porte-cochere, flowers and flags",302328,12,Plate 1 x 2,Dark Green
"Grounds, porte-cochere, flowers and flags",4107758,3,Plate 1 x 3,Dark Green
"Grounds, porte-cochere, flowers and flags",371028,13,Plate 1 x 4,Dark Green
"Grounds, porte-cochere, flowers and flags",366628,8,Plate 1 x 6,Dark Green
"Grounds, porte-cochere, flowers and flags",346028,15,Plate 1 x 8,Dark Green
"Grounds, porte-cochere, flowers and flags",383228,2,Plate 2 x 10,Dark Green
"Grounds, porte-cochere, flowers and flags",302228,2,Plate 2 x 2,Dark Green
"Grounds, porte-cochere, flowers and flags",302128,2,Plate 2 x 3,Dark Green
"Grounds, porte-cochere, flowers and flags",302028,3,Plate 2 x 4,Dark Green
"Grounds, porte-cochere, flowers and flags",379528,1,Plate 2 x 6,Dark Green
"Grounds, porte-cochere, flowers and flags",303428,1,Plate 2 x 8,Dark Green
"Grounds, porte-cochere, flowers and flags",4243821,1,Plate 4 x 4,Dark Green
"Grounds, porte-cochere, flowers and flags",4277361,6,Plate 4 x 8,Dark Green
"Grounds, porte-cochere, flowers and flags",4507311,2,Plate 6 x 8,Dark Green
"Grounds, porte-cochere, flowers and flags",6004927,6,Plate 16 x 16,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4211052,2,Tile 1 x 2,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4210651,2,Tile 1 x 6,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4211008,10,Tile 1 x 8,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4521915,2,Brick 1 x 1,Earth Green
"Grounds, porte-cochere, flowers and flags",4245570,18,Brick 1 x 2,Earth Green
"Grounds, porte-cochere, flowers and flags",4245571,11,Brick 1 x 4,Earth Green
"Grounds, porte-cochere, flowers and flags",4211150,3,Plate 1 x 2,Reddish Brown
"Grounds, porte-cochere, flowers and flags",4211190,2,Plate 1 x 4,Reddish Brown
"Grounds, porte-cochere, flowers and flags",4221590,2,Plate 1 x 6,Reddish Brown
"Grounds, porte-cochere, flowers and flags",4216945,3,Plate 1 x 8,Reddish Brown
"Grounds, porte-cochere, flowers and flags",4216695,1,Plate 2 x 2,Reddish Brown
"Grounds, porte-cochere, flowers and flags",4211247,2,Plate 2 x 6,Reddish Brown
"Grounds, porte-cochere, flowers and flags",4211211,1,Plate 2 x 8,Reddish Brown
"Grounds, porte-cochere, flowers and flags",4271874,4,Plate 4 x 6,Reddish Brown
"Grounds, porte-cochere, flowers and flags",6047813,4,Fence Spindled 1 x 4 x 2,White
Gatehouse,300526,28,Brick 1 x 1,Black
Gatehouse,300426,4,Brick 1 x 2,Black
Gatehouse,6284070,2,Tile Round 1 x 1,Black
Gatehouse,4113915,18,Brick 1 x 1,Brick Yellow
Gatehouse,4113916,24,Brick 1 x 4,Brick Yellow
Gatehouse,4159774,4,Brick 1 x 8,Brick Yellow
Gatehouse,6022084,20,Brick 1 x 1,Cool Yellow
Gatehouse,6022083,4,Brick 1 x 2,Cool Yellow
Gatehouse,4211098,3,Brick 1 x 1,Dark Stone Grey
Gatehouse,4211104,6,Brick 1 x 3,Dark Stone Grey
Gatehouse,4211100,3,Brick 1 x 6,Dark Stone Grey
Gatehouse,4210719,2,Plate 1 x 1,Dark Stone Grey
Gatehouse,4257526,2,Plate 1 x 10,Dark Stone Grey
Gatehouse,4211133,12,Plate 1 x 3,Dark Stone Grey
Gatehouse,4211001,1,Plate 1 x 4,Dark Stone Grey
Gatehouse,4211056,1,Plate 1 x 6,Dark Stone Grey
Gatehouse,4210678,5,Plate 2 x 10,Dark Stone Grey
Gatehouse,4211067,5,Plate 2 x 12,Dark Stone Grey
Gatehouse,4211043,5,Plate 2 x 3,Dark Stone Grey
Gatehouse,4246896,6,Slope Curved 3 x 1,Dark Stone Grey
Gatehouse,4210848,1,Tile 1 x 1,Dark Stone Grey
Gatehouse,4211053,1,Tile 1 x 4,Dark Stone Grey
Gatehouse,4210651,5,Tile 1 x 6,Dark Stone Grey
Gatehouse,4514846,1,Plate 1 x 12,Medium Stone Grey
Gatehouse,4211400,4,Plate 6 x 12,Medium Stone Grey
Gatehouse,4211242,3,Brick 1 x 1,Reddish Brown
Gatehouse,4211225,3,Brick 1 x 4,Reddish Brown
Gatehouse,4523159,9,Plate Round 1 x 1,Warm Gold
Gatehouse,300501,16,Brick 1 x 1,White
Gatehouse,4558952,11,Brick 1 x 1 with Stud on 1 Side,White
Gatehouse,300401,20,Brick 1 x 2,White
Gatehouse,362201,8,Brick 1 x 3,White
Gatehouse,301001,18,Brick 1 x 4,White
Gatehouse,300901,14,Brick 1 x 6,White
Gatehouse,300801,34,Brick 1 x 8,White
Gatehouse,302401,2,Plate 1 x 1,White
Gatehouse,362301,12,Plate 1 x 3,White
Gatehouse,366601,1,Plate 1 x 6,White
Gatehouse,346001,1,Plate 1 x 8,White
Gatehouse,302101,7,Plate 2 x 3,White
Gatehouse,379501,3,Plate 2 x 6,White
Gatehouse,303401,4,Plate 2 x 8,White
Gatehouse,614101,30,Plate Round 1 x 1,White
Gatehouse,366501,6,Slope 45 2 x 1 Inverted,White
Gatehouse,6172927,2,Slope Curved 2 x 1 Inverted,White
Gatehouse,4249112,6,Slope Curved 3 x 1,White
Gatehouse,307001,3,Tile 1 x 1,White
Gatehouse,306901,2,Tile 1 x 2,White
Gatehouse,243101,2,Tile 1 x 4,White
Gatehouse,663601,3,Tile 1 x 6,White
Tower (build 2),300526,24,Brick 1 x 1,Black
Tower (build 2),4211098,18,Brick 1 x 1,Dark Stone Grey
Tower (build 2),4211045,8,Slope 33 3 x 1,Dark Stone Grey
Tower (build 2),4211106,20,Slope 33 3 x 2,Dark Stone Grey
Tower (build 2),4210848,2,Tile 1 x 1,Dark Stone Grey
Tower (build 2),4211052,4,Tile 1 x 2,Dark Stone Grey
Tower (build 2),4568734,2,Tile 1 x 3,Dark Stone Grey
Tower (build 2),4211053,6,Tile 1 x 4,Dark Stone Grey
Tower (build 2),4211055,2,Tile 2 x 2,Dark Stone Grey
Tower (build 2),6116602,2,Bar 4L (Light Sword Blade),White
Tower (build 2),300501,48,Brick 1 x 1,White
Tower (build 2),301001,12,Brick 1 x 4,White
Tower (build 2),300901,12,Brick 1 x 6,White
Tower (build 2),306201,2,Brick Round 1 x 1,White
Tower (build 2),4518400,2,Cone 1 x 1,White
Tower (build 2),302401,6,Plate 1 x 1,White
Tower (build 2),366601,4,Plate 1 x 6,White
Tower (build 2),346001,2,Plate 1 x 8,White
Tower (build 2),302101,20,Plate 2 x 3,White
Tower (build 2),302001,12,Plate 2 x 4,White
Tower (build 2),379501,8,Plate 2 x 6,White
Side wing (build 2),300526,40,Brick 1 x 1,Black
Side wing (build 2),300426,8,Brick 1 x 2,Black
Side wing (build 2),4211045,8,Slope 33 3 x 1,Dark Stone Grey
Side wing (build 2),4211106,40,Slope 33 3 x 2,Dark Stone Grey
Side wing (build 2),4211052,2,Tile 1 x 2,Dark Stone Grey
Side wing (build 2),4211055,2,Tile 2 x 2,Dark Stone Grey
Side wing (build 2),4211396,10,Plate 2 x 3,Medium Stone Grey
Side wing (build 2),4211406,10,Plate 2 x 8,Medium Stone Grey
Side wing (build 2),300501,60,Brick 1 x 1,White
Side wing (build 2),300401,12,Brick 1 x 2,White
Side wing (build 2),362201,16,Brick 1 x 3,White
Side wing (build 2),300801,24,Brick 1 x 8,White
Side wing (build 2),302101,10,Plate 2 x 3,White
Side wing (build 2),303401,10,Plate 2 x 8,White
Topiary,306228,4,Brick Round 1 x 1,Dark Green
Topiary,4529239,2,Cone 1 x 1,Dark Green
Topiary,6229130,4,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green
Shade tree,6266968,4,Plant Leaves 6 x 5,Dark Green
Shade tree,6229130,2,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green
Shade tree,4211183,8,Brick Round 1 x 1,Reddish Brown
