Element ID,Quantity,Description,LEGO colour,Design ID,BrickLink part,BrickLink colour,Alternate element IDs,Last year in a set,Availability (from data),Pick a Brick unit price seen (USD)
300526,92,Brick 1 x 1,Black,3005,3005,Black,,2026,listed on Pick a Brick (2025),0.07
300426,12,Brick 1 x 2,Black,3004,3004,Black,,2026,listed on Pick a Brick (2025),0.10
6284070,2,Tile Round 1 x 1,Black,35381,98138,Black,6139403,2026,"likely (current, listed 2022)",0.04
4113915,18,Brick 1 x 1,Brick Yellow,3005,3005,Tan,300505,2026,listed on Pick a Brick (2025),0.07
4113916,24,Brick 1 x 4,Brick Yellow,3010,3010,Tan,301005,2026,listed on Pick a Brick (2025),0.16
4159774,4,Brick 1 x 8,Brick Yellow,3008,3008,Tan,300805 4114080 4124002,2026,"likely (current, listed 2022)",0.29
366623,8,Plate 1 x 6,Bright Blue,3666,3666,Blue,,2026,"likely (current, listed 2022)",0.14
6182261,95,Plant Plate Round 1 x 1 with 3 Leaves,Bright Green,32607,32607,Bright Green,,2026,"likely (current, listed 2022)",0.06
6206148,93,Plant Flower 1 x 1,Bright Red,24866,24866,Red,,2026,"likely (current, listed 2022)",0.06
306921,1,Tile 1 x 2,Bright Red,3069,3069,Red,4178178,2026,"likely (current, listed 2022)",0.07
4113858,1,Tile 1 x 6,Bright Red,6636,6636,Red,,2026,"likely (current, listed 2022)",0.14
416221,5,Tile 1 x 8,Bright Red,4162,4162,Red,,2026,"likely (current, listed 2022)",0.14
6022084,20,Brick 1 x 1,Cool Yellow,3005,3005,Bright Light Yellow,6014502,2026,listed on Pick a Brick (2025),0.07
6022083,4,Brick 1 x 2,Cool Yellow,3004,3004,Bright Light Yellow,6014504,2026,listed on Pick a Brick (2025),0.10
306228,4,Brick Round 1 x 1,Dark Green,3062,3062,Green,,2026,"likely (current, listed 2022)",0.06
4529239,2,Cone 1 x 1,Dark Green,59900,4589b,Green,4188820 458928,2026,"likely (current, listed 2022)",0.07
6266968,4,Plant Leaves 6 x 5,Dark Green,2417,2417,Green,241728 4613823,2026,"likely (current, listed 2022)",0.19
6229130,6,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green,32607,32607,Green,,2026,"likely (current, listed 2022)",0.06
302428,13,Plate 1 x 1,Dark Green,3024,3024,Green,,2026,listed on Pick a Brick (2025),0.05
302328,12,Plate 1 x 2,Dark Green,3023,3023,Green,,2026,listed on Pick a Brick (2025),0.07
4107758,3,Plate 1 x 3,Dark Green,3623,3623,Green,362328,2026,listed on Pick a Brick (2025),0.07
371028,13,Plate 1 x 4,Dark Green,3710,3710,Green,,2026,listed on Pick a Brick (2025),0.10
366628,8,Plate 1 x 6,Dark Green,3666,3666,Green,,2026,"likely (current, listed 2022)",0.14
346028,15,Plate 1 x 8,Dark Green,3460,3460,Green,,2026,"likely (current, listed 2022)",0.18
383228,2,Plate 2 x 10,Dark Green,3832,3832,Green,,2026,"likely (current, listed 2022)",0.25
302228,2,Plate 2 x 2,Dark Green,3022,3022,Green,,2026,listed on Pick a Brick (2025),0.09
302128,2,Plate 2 x 3,Dark Green,3021,3021,Green,,2026,"likely (current, listed 2022)",0.14
302028,3,Plate 2 x 4,Dark Green,3020,3020,Green,,2026,listed on Pick a Brick (2025),0.14
379528,1,Plate 2 x 6,Dark Green,3795,3795,Green,,2026,"likely (current, listed 2022)",0.19
303428,1,Plate 2 x 8,Dark Green,3034,3034,Green,,2026,"likely (current, listed 2022)",0.25
4243821,1,Plate 4 x 4,Dark Green,3031,3031,Green,4113158,2026,"likely (current, listed 2022)",0.21
