Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
1,300526,92,BRICK 1X1,Black,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,,,3005 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300526
2,300426,12,BRICK 1X2,Black,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,yes,,,3004 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300426
3,6284070,2,"FLAT TILE 1X1, ROUND",Black,35381,Tile Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.04,2022,,,6139403,98138 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6284070
4,4113915,18,BRICK 1X1,Brick Yellow,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,,300505,3005 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4113915
5,4113916,24,BRICK 1X4,Brick Yellow,3010,Brick 1 x 4,On Pick a Brick (late-2025 listing),0.16,late 2025,yes,,301005,3010 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4113916
6,4159774,4,BRICK 1X8,Brick Yellow,3008,Brick 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.29,2022,,,300805 4114080 4124002,3008 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4159774
7,366623,8,PLATE 1X6,Bright Blue,3666,Plate 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,3666 / Blue,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=366623
8,6182261,95,"PLANT, W/ PLATE 1X1, NO. 1",Bright Green,32607,Plant Plate Round 1 x 1 with 3 Leaves,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,yes,,,32607 / Bright Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6182261
9,6206148,93,FLOWER 1X1,Bright Red,24866,Plant Flower 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,yes,,,24866 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6206148
10,306921,1,FLAT TILE 1X2,Bright Red,3069,Tile 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,4178178,,3069 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=306921
11,4113858,1,FLAT TILE 1X6,Bright Red,6636,Tile 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,6636 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4113858
12,416221,5,FLAT TILE 1X8,Bright Red,4162,Tile 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,4162 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=416221
13,6022084,20,BRICK 1X1,Cool Yellow,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,,6014502,3005 / Bright Light Yellow,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6022084
14,6022083,4,BRICK 1X2,Cool Yellow,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,,,6014504,3004 / Bright Light Yellow,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6022083
15,306228,4,ROUND BRICK 1X1,Dark Green,3062,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,3062 / Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=306228
