elementId,quantity
300526,92
300426,12
6284070,2
4113915,18
4113916,24
4159774,4
366623,8
6182261,95
6206148,93
306921,1
4113858,1
416221,5
6022084,20
6022083,4
306228,4
4529239,2
6266968,4
6229130,6
302428,13
302328,12
4107758,3
371028,13
366628,8
346028,15
383228,2
302228,2
302128,2
302028,3
379528,1
303428,1
4243821,1
4277361,6
4507311,2
4211098,21
4211104,6
4211100,3
4210719,2
4257526,2
4211133,12
4211001,1
4211056,1
6004927,6
4210678,5
4211067,5
4211043,5
4211045,16
4211106,60
4246896,6
4210848,3
4211052,8
4568734,2
4211053,7
4210651,7
4211008,10
4211055,4
4521915,2
4245570,18
4245571,11
4514846,1
4211396,10
4211406,10
4211400,4
4211242,3
4211225,3
4211183,8
4211150,3
4211190,2
4221590,2
4216945,3
4216695,1
4211247,2
4211211,1
4271874,4
4523159,9
6116602,2
300501,124
4558952,11
300401,32
362201,24
301001,30
300901,26
300801,58
306201,2
4518400,2
6047813,4
302401,8
362301,12
366601,5
346001,3
302101,37
302001,12
379501,11
303401,14
614101,30
366501,6
6172927,2
4249112,6
307001,3
306901,2
243101,2
663601,3
