Part,Color,Quantity
3005,0,92
3004,0,12
98138,0,2
3005,19,18
3010,19,24
3008,19,4
3666,1,8
32607,10,95
24866,4,93
3069b,4,1
6636,4,1
4162,4,5
3005,226,20
3004,226,4
3062b,2,4
59900,2,2
2417,2,4
32607,2,6
3024,2,13
3023,2,12
3623,2,3
3710,2,13
3666,2,8
3460,2,15
3832,2,2
3022,2,2
3021,2,2
3020,2,3
3795,2,1
3034,2,1
3031,2,1
3035,2,6
3036,2,2
3005,72,21
3622,72,6
3009,72,3
3024,72,2
4477,72,2
3623,72,12
3710,72,1
3666,72,1
91405,72,6
3832,72,5
2445,72,5
3021,72,5
4286,72,16
3298,72,60
50950,72,6
3070b,72,3
3069b,72,8
63864,72,2
2431,72,7
6636,72,7
4162,72,10
3068b,72,4
3005,288,2
3004,288,18
3010,288,11
60479,71,1
3021,71,10
3034,71,10
3028,71,4
3005,70,3
3010,70,3
3062b,70,8
3023,70,3
3710,70,2
3666,70,2
3460,70,3
3022,70,1
3795,70,2
3034,70,1
3032,70,4
6141,297,9
30374,15,2
3005,15,124
87087,15,11
3004,15,32
3622,15,24
3010,15,30
3009,15,26
3008,15,58
3062b,15,2
59900,15,2
15332,15,4
3024,15,8
3623,15,12
3666,15,5
3460,15,3
3021,15,37
3020,15,12
3795,15,11
3034,15,14
6141,15,30
3665,15,6
24201,15,2
50950,15,6
3070b,15,3
3069b,15,2
2431,15,2
6636,15,3
