ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
14716.dat,15,White,14716,1,White,14716,14716,6055541,6548277,2026,69,,yes,,0.14,BRICK 1X1X3,"likely (current, listed 2022)"
16577.dat,15,White,16577,1,White,16577,40296,6619298,6062279 6313647,2026,16,,,,,,likely (in current sets)
2417.dat,2,Dark Green,2417,6,Green,2417,2417,6266968,241728 4613823,2026,33,,yes,,0.19,LIMB ELEMENT,"likely (current, listed 2022)"
2431.dat,320,New Dark Red,2431,59,Dark Red,2431,2431,4539060,4164220,2026,38,,yes,,0.13,FLAT TILE 1X4,"likely (current, listed 2022)"
2445.dat,15,White,2445,1,White,2445,2445,244501,6552091,2026,49,,yes,,0.35,PLATE 2X12,"likely (current, listed 2022)"
24866.dat,4,Bright Red,24866,5,Red,24866,24866,6206148,,2026,80,,yes,,0.06,FLOWER 1X1,"likely (current, listed 2022)"
2877.dat,15,White,2877,1,White,2877,2877,287701,6552093,2026,28,,yes,,0.11,PROFILE BRICK 1X2,"likely (current, listed 2022)"
3004.dat,0,Black,3004,11,Black,3004,3004,300426,,2026,198,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3004.dat,4,Bright Red,3004,5,Red,3004,3004,300421,4613961,2026,118,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3004.dat,15,White,3004,1,White,3004,3004,300401,4613964 6548257,2026,249,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3004.dat,288,Earth Green,3004,80,Dark Green,3004,3004,4245570,6618072,2026,29,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3005.dat,0,Black,3005,11,Black,3005,3005,300526,,2026,200,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,4,Bright Red,3005,5,Red,3005,3005,300521,,2026,95,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,15,White,3005,1,White,3005,3005,300501,300551 6548258 6552096,2026,234,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,19,Brick Yellow,3005,2,Tan,3005,3005,4113915,300505,2026,137,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,288,Earth Green,3005,80,Dark Green,3005,3005,4521915,4271434 4496290 6618073,2026,28,yes,,0.07,,BRICK 1X1,listed on Pick a Brick (2025)
3008.dat,15,White,3008,1,White,3008,3008,300801,6550134,2026,66,,yes,,0.29,BRICK 1X8,"likely (current, listed 2022)"
3009.dat,15,White,3009,1,White,3009,3009,300901,300951 6548259 6552097,2026,134,,yes,,0.25,BRICK 1X6,"likely (current, listed 2022)"
3010.dat,15,White,3010,1,White,3010,3010,301001,6550135,2026,186,yes,yes,0.16,0.15,BRICK 1X4,listed on Pick a Brick (2025)
3010.dat,288,Earth Green,3010,80,Dark Green,3010,3010,4245571,6618074,2026,23,yes,yes,0.16,0.15,BRICK 1X4,listed on Pick a Brick (2025)
3020.dat,15,White,3020,1,White,3020,3020,302001,6552098,2026,315,yes,yes,0.14,0.14,PLATE 2X4,listed on Pick a Brick (2025)
3021.dat,2,Dark Green,3021,6,Green,3021,3021,302128,,2026,81,,yes,,0.14,PLATE 2X3,"likely (current, listed 2022)"
3022.dat,15,White,3022,1,White,3022,3022,302201,4613976 6548260 6552099,2026,334,yes,yes,0.09,0.11,PLATE 2X2,listed on Pick a Brick (2025)
3023b.dat,0,Black,3023,11,Black,3023,3023,302326,,2026,502,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3023b.dat,15,White,3023,1,White,3023,3023,302301,6548261 6552100,2026,520,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3024.dat,71,Medium Stone Grey,3024,86,Light Bluish Gray,3024,3024,4211399,,2026,263,yes,yes,0.05,0.06,PLATE 1X1,listed on Pick a Brick (2025)
3029.dat,15,White,3029,1,White,3029,3029,4168072,302901,2026,20,,yes,,0.7,PLATE 4X12,"likely (current, listed 2022)"
3030.dat,71,Medium Stone Grey,3030,86,Light Bluish Gray,3030,3030,4211402,,2026,30,,yes,,0.54,PLATE 4X10,"likely (current, listed 2022)"
3031.dat,15,White,3031,1,White,3031,3031,4243812,303101 6552127,2026,93,,yes,,0.21,PLATE 4X4,"likely (current, listed 2022)"
3032.dat,15,White,3032,1,White,3032,3032,303201,,2026,71,,yes,,0.43,PLATE 4X6,"likely (current, listed 2022)"
3033.dat,15,White,3033,1,White,3033,3033,4528341,303301,2026,17,,yes,,0.86,PLATE 6X10,"likely (current, listed 2022)"
3033.dat,71,Medium Stone Grey,3033,86,Light Bluish Gray,3033,3033,4211405,,2026,36,,yes,,0.86,PLATE 6x10,"likely (current, listed 2022)"
3034.dat,2,Dark Green,3034,6,Green,3034,3034,303428,,2026,32,,yes,,0.25,PLATE 2X8,"likely (current, listed 2022)"
3039.dat,4,Bright Red,3039,5,Red,3039,3039,303921,,2026,30,,yes,,0.14,ROOF TILE 2X2/45°,"likely (current, listed 2022)"
3040b.dat,4,Bright Red,3040,5,Red,3040b,3040,4121934,304021,2026,28,,yes,,0.11,ROOF TILE 1X2/45°,"likely (current, listed 2022)"
3040b.dat,15,White,3040,1,White,3040b,3040,4121932,304001 6552115,2026,71,,yes,,0.11,ROOF TILE 1X2/45°,"likely (current, listed 2022)"
3062b.dat,15,White,3062,1,White,3062b,3062,306201,6619283,2026,127,,yes,,0.06,ROUND BRICK 1X1,"likely (current, listed 2022)"
