Section,Element ID,Quantity,Description,LEGO colour
"Grounds, porte-cochere and gardens",300521,56,Brick 1 x 1,Bright Red
"Grounds, porte-cochere and gardens",6206148,12,Plant Flower 1 x 1,Bright Red
"Grounds, porte-cochere and gardens",428621,72,Slope 33 3 x 1,Bright Red
"Grounds, porte-cochere and gardens",4121934,14,Slope 45 2 x 1,Bright Red
"Grounds, porte-cochere and gardens",303921,20,Slope 45 2 x 2,Bright Red
"Grounds, porte-cochere and gardens",306921,2,Tile 1 x 2,Bright Red
"Grounds, porte-cochere and gardens",416221,4,Tile 1 x 8,Bright Red
"Grounds, porte-cochere and gardens",306821,1,Tile 2 x 2,Bright Red
"Grounds, porte-cochere and gardens",4560179,4,Tile 2 x 4,Bright Red
"Grounds, porte-cochere and gardens",383228,16,Plate 2 x 10,Dark Green
"Grounds, porte-cochere and gardens",302128,14,Plate 2 x 3,Dark Green
"Grounds, porte-cochere and gardens",379528,4,Plate 2 x 6,Dark Green
"Grounds, porte-cochere and gardens",303428,11,Plate 2 x 8,Dark Green
"Grounds, porte-cochere and gardens",6004927,6,Plate 16 x 16,Dark Stone Grey
"Grounds, porte-cochere and gardens",4521915,4,Brick 1 x 1,Earth Green
"Grounds, porte-cochere and gardens",4245570,2,Brick 1 x 2,Earth Green
"Grounds, porte-cochere and gardens",4245571,14,Brick 1 x 4,Earth Green
"Grounds, porte-cochere and gardens",4211399,14,Plate 1 x 1,Medium Stone Grey
"Grounds, porte-cochere and gardens",4211415,2,Tile 1 x 1,Medium Stone Grey
"Grounds, porte-cochere and gardens",4211414,22,Tile 1 x 2,Medium Stone Grey
"Grounds, porte-cochere and gardens",4211549,18,Tile 1 x 6,Medium Stone Grey
"Grounds, porte-cochere and gardens",4211481,30,Tile 1 x 8,Medium Stone Grey
"Grounds, porte-cochere and gardens",4539090,6,Tile 1 x 2,New Dark Red
"Grounds, porte-cochere and gardens",4539060,8,Tile 1 x 4,New Dark Red
"Grounds, porte-cochere and gardens",6619298,1,Arch 1 x 8 x 2 Raised,White
"Grounds, porte-cochere and gardens",300501,2,Brick 1 x 1,White
