Element ID,Quantity,Description,LEGO colour,Design ID,BrickLink part,BrickLink colour,Alternate element IDs,Last year in a set,Availability (from data),Pick a Brick unit price seen (USD)
300526,170,Brick 1 x 1,Black,3005,3005,Black,,2026,listed on Pick a Brick (2025),0.07
300426,47,Brick 1 x 2,Black,3004,3004,Black,,2026,listed on Pick a Brick (2025),0.10
302326,4,Plate 1 x 2,Black,3023,3023,Black,,2026,listed on Pick a Brick (2025),0.07
4113915,4,Brick 1 x 1,Brick Yellow,3005,3005,Tan,300505,2026,listed on Pick a Brick (2025),0.07
4117070,4,Brick Round 1 x 1,Brick Yellow,3062,3062,Tan,306205,2026,"likely (current, listed 2022)",0.06
300521,130,Brick 1 x 1,Bright Red,3005,3005,Red,,2026,listed on Pick a Brick (2025),0.07
300421,4,Brick 1 x 2,Bright Red,3004,3004,Red,4613961,2026,listed on Pick a Brick (2025),0.10
6056297,1,Cone 2 x 2 x 2,Bright Red,14918,3942c,Red,394221 394271 4200493 4519907 4528786 6022147,2026,likely (in current sets),
6206148,12,Plant Flower 1 x 1,Bright Red,24866,24866,Red,,2026,"likely (current, listed 2022)",0.06
428621,98,Slope 33 3 x 1,Bright Red,4286,4286,Red,,2026,"likely (current, listed 2022)",0.11
4121934,40,Slope 45 2 x 1,Bright Red,3040,3040,Red,304021,2026,"likely (current, listed 2022)",0.11
303921,120,Slope 45 2 x 2,Bright Red,3039,3039,Red,,2026,"likely (current, listed 2022)",0.14
307021,2,Tile 1 x 1,Bright Red,3070,3070,Red,,2027,"likely (current, listed 2022)",0.06
306921,8,Tile 1 x 2,Bright Red,3069,3069,Red,4178178,2026,"likely (current, listed 2022)",0.07
4533742,2,Tile 1 x 3,Bright Red,63864,63864,Red,,2026,"likely (current, listed 2022)",0.11
416221,8,Tile 1 x 8,Bright Red,4162,4162,Red,,2026,"likely (current, listed 2022)",0.14
306821,9,Tile 2 x 2,Bright Red,3068,3068,Red,,2026,"likely (current, listed 2022)",0.08
4560179,5,Tile 2 x 4,Bright Red,87079,87079,Red,,2026,"likely (current, listed 2022)",0.21
6266968,12,Plant Leaves 6 x 5,Dark Green,2417,2417,Green,241728 4613823,2026,"likely (current, listed 2022)",0.19
6229130,6,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green,32607,32607,Green,,2026,"likely (current, listed 2022)",0.06
383228,16,Plate 2 x 10,Dark Green,3832,3832,Green,,2026,"likely (current, listed 2022)",0.25
302128,14,Plate 2 x 3,Dark Green,3021,3021,Green,,2026,"likely (current, listed 2022)",0.14
379528,4,Plate 2 x 6,Dark Green,3795,3795,Green,,2026,"likely (current, listed 2022)",0.19
303428,11,Plate 2 x 8,Dark Green,3034,3034,Green,,2026,"likely (current, listed 2022)",0.25
6004927,6,Plate 16 x 16,Dark Stone Grey,91405,91405,Dark Bluish Gray,,2026,"likely (current, listed 2022)",3.04
4211052,2,Tile 1 x 2,Dark Stone Grey,3069,3069,Dark Bluish Gray,,2026,"likely (current, listed 2022)",0.07
6525789,4,Bar 3L,Earth Green,17715,87994,Dark Green,,2026,likely (in current sets),
4521915,4,Brick 1 x 1,Earth Green,3005,3005,Dark Green,4271434 4496290 6618073,2026,listed on Pick a Brick (2025),0.07
4245570,2,Brick 1 x 2,Earth Green,3004,3004,Dark Green,6618072,2026,listed on Pick a Brick (2025),0.10
4245571,14,Brick 1 x 4,Earth Green,3010,3010,Dark Green,6618074,2026,listed on Pick a Brick (2025),0.16
6411591,4,Cone 1 x 1,Earth Green,59900,4589b,Dark Green,,2026,likely (in current sets),
4211399,14,Plate 1 x 1,Medium Stone Grey,3024,3024,Light Bluish Gray,,2026,listed on Pick a Brick (2025),0.05
4211402,2,Plate 4 x 10,Medium Stone Grey,3030,3030,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.54
4211405,6,Plate 6 x 10,Medium Stone Grey,3033,3033,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.86
4211415,2,Tile 1 x 1,Medium Stone Grey,3070,3070,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.06
4211414,22,Tile 1 x 2,Medium Stone Grey,3069,3069,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.07
4211549,18,Tile 1 x 6,Medium Stone Grey,6636,6636,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.14
4211481,30,Tile 1 x 8,Medium Stone Grey,4162,4162,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.14
4539090,6,Tile 1 x 2,New Dark Red,3069,3069,Dark Red,4165783 4529548,2026,"likely (current, listed 2022)",0.07
4539060,8,Tile 1 x 4,New Dark Red,2431,2431,Dark Red,4164220,2026,"likely (current, listed 2022)",0.13
4211183,36,Brick Round 1 x 1,Reddish Brown,3062,3062,Reddish Brown,,2026,"likely (current, listed 2022)",0.06
6223655,4,Brick Round 1 x 1,Transparent,35390,3062,Trans-Clear,3006840 306210 306240 6012880 6514232,2026,"likely (current, listed 2022)",0.07
365901,1,Arch 1 x 4,White,3659,3659,White,6550145,2026,"likely (current, listed 2022)",0.14
6619298,1,Arch 1 x 8 x 2 Raised,White,40296,16577,White,6062279 6313647,2026,likely (in current sets),
300501,240,Brick 1 x 1,White,3005,3005,White,300551 6548258 6552096,2026,listed on Pick a Brick (2025),0.07
6055541,12,Brick 1 x 1 x 3,White,14716,14716,White,6548277,2026,"likely (current, listed 2022)",0.14
300401,54,Brick 1 x 2,White,3004,3004,White,4613964 6548257,2026,listed on Pick a Brick (2025),0.10
287701,1,Brick 1 x 2 with Grille,White,2877,2877,White,6552093,2026,"likely (current, listed 2022)",0.11
301001,4,Brick 1 x 4,White,3010,3010,White,6550135,2026,listed on Pick a Brick (2025),0.16
300901,4,Brick 1 x 6,White,3009,3009,White,300951 6548259 6552097,2026,"likely (current, listed 2022)",0.25
300801,4,Brick 1 x 8,White,3008,3008,White,6550134,2026,"likely (current, listed 2022)",0.29
6601920,1,Brick 2 x 2 Round,White,6143,3941,White,394101 614301 614351,2026,likely (in current sets),
306201,12,Brick Round 1 x 1,White,3062,3062,White,6619283,2026,"likely (current, listed 2022)",0.06
6619304,1,Brick Round 4 x 4,White,87081,87081,White,4558956,2026,likely (in current sets),
447701,10,Plate 1 x 10,White,4477,4477,White,6550148 6552113,2026,"likely (current, listed 2022)",0.18
4514842,10,Plate 1 x 12,White,60479,60479,White,6548269 6552130,2026,"likely (current, listed 2022)",0.25
302301,18,Plate 1 x 2,White,3023,3023,White,6548261 6552100,2026,listed on Pick a Brick (2025),0.07
346001,16,Plate 1 x 8,White,3460,3460,White,6550141,2026,"likely (current, listed 2022)",0.18
244501,8,Plate 2 x 12,White,2445,2445,White,6552091,2026,"likely (current, listed 2022)",0.35
302201,1,Plate 2 x 2,White,3022,3022,White,4613976 6548260 6552099,2026,listed on Pick a Brick (2025),0.09
302001,4,Plate 2 x 4,White,3020,3020,White,6552098,2026,listed on Pick a Brick (2025),0.14
4168072,9,Plate 4 x 12,White,3029,3029,White,302901,2026,"likely (current, listed 2022)",0.70
4243812,5,Plate 4 x 4,White,3031,3031,White,303101 6552127,2026,"likely (current, listed 2022)",0.21
303201,1,Plate 4 x 6,White,3032,3032,White,,2026,"likely (current, listed 2022)",0.43
4528341,7,Plate 6 x 10,White,3033,3033,White,303301,2026,"likely (current, listed 2022)",0.86
4144012,10,Plate 6 x 6,White,3958,3958,White,395801 6552116,2026,"likely (current, listed 2022)",0.50
614101,97,Plate Round 1 x 1,White,6141,4073,White,6601919,2026,"likely (current, listed 2022)",0.06
428601,8,Slope 33 3 x 1,White,4286,4286,White,,2026,"likely (current, listed 2022)",0.11
4121932,40,Slope 45 2 x 1,White,3040,3040,White,304001 6552115,2026,"likely (current, listed 2022)",0.11
370001,4,Technic Brick 1 x 2 with Hole,White,3700,3700,White,6619284,2026,"likely (current, listed 2022)",0.11
