Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
1,300526,170,BRICK 1X1,Black,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,,,3005 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300526
2,300426,47,BRICK 1X2,Black,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,yes,,,3004 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300426
3,302326,4,PLATE 1X2,Black,3023,Plate 1 x 2,On Pick a Brick (late-2025 listing),0.07,late 2025,,,,3023 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302326
4,4113915,4,BRICK 1X1,Brick Yellow,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,,,300505,3005 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4113915
5,4117070,4,ROUND BRICK 1X1,Brick Yellow,3062,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,306205,3062 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4117070
6,300521,130,BRICK 1X1,Bright Red,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,,,3005 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300521
7,300421,4,BRICK 1X2,Bright Red,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,,4613961,,3004 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300421
8,6056297,1,(not listed),Bright Red,14918,Cone 2 x 2 x 2,Not on the Pick a Brick listings checked; in LEGO sets in 2026,,,,,394221 394271 4200493 4519907 4528786 6022147,3942c / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6056297
9,6206148,12,FLOWER 1X1,Bright Red,24866,Plant Flower 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,yes,,,24866 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6206148
10,428621,98,ROOF TILE 1X3/25°,Bright Red,4286,Slope 33 3 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,yes,,,4286 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=428621
11,4121934,40,ROOF TILE 1X2/45°,Bright Red,3040,Slope 45 2 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,yes,,304021,3040 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4121934
12,303921,120,ROOF TILE 2X2/45°,Bright Red,3039,Slope 45 2 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,,,3039 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=303921
13,307021,2,FLAT TILE 1X1,Bright Red,3070,Tile 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026 (including sets listed for 2027),0.06,2022,,,,3070 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=307021
14,306921,8,FLAT TILE 1X2,Bright Red,3069,Tile 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,4178178,,3069 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=306921
