elementId,quantity
300526,170
300426,47
302326,4
4113915,4
4117070,4
300521,130
300421,4
6056297,1
6206148,12
428621,98
4121934,40
303921,120
307021,2
306921,8
4533742,2
416221,8
306821,9
4560179,5
6266968,12
6229130,6
383228,16
302128,14
379528,4
303428,11
6004927,6
4211052,2
6525789,4
4521915,4
4245570,2
4245571,14
6411591,4
4211399,14
4211402,2
4211405,6
4211415,2
4211414,22
4211549,18
4211481,30
4539090,6
4539060,8
4211183,36
6223655,4
365901,1
6619298,1
300501,240
6055541,12
300401,54
287701,1
301001,4
300901,4
300801,4
6601920,1
306201,12
6619304,1
447701,10
4514842,10
302301,18
346001,16
244501,8
302201,1
302001,4
4168072,9
4243812,5
303201,1
4528341,7
4144012,10
614101,97
428601,8
4121932,40
370001,4
