Part,Color,Quantity
3005,0,170
3004,0,47
3023,0,4
3005,19,4
3062b,19,4
3005,4,130
3004,4,4
3942c,4,1
24866,4,12
4286,4,98
3040b,4,40
3039,4,120
3070b,4,2
3069b,4,8
63864,4,2
4162,4,8
3068b,4,9
87079,4,5
2417,2,12
32607,2,6
3832,2,16
3021,2,14
3795,2,4
3034,2,11
91405,72,6
3069b,72,2
87994,288,4
3005,288,4
3004,288,2
3010,288,14
59900,288,4
3024,71,14
3030,71,2
3033,71,6
3070b,71,2
3069b,71,22
6636,71,18
4162,71,30
3069b,320,6
2431,320,8
3062b,70,36
3062b,47,4
3659,15,1
16577,15,1
3005,15,240
14716,15,12
3004,15,54
2877,15,1
3010,15,4
3009,15,4
3008,15,4
3941,15,1
3062b,15,12
87081,15,1
4477,15,10
60479,15,10
3023,15,18
3460,15,16
2445,15,8
3022,15,1
3020,15,4
3029,15,9
3031,15,5
3032,15,1
3033,15,7
3958,15,10
6141,15,97
4286,15,8
3040b,15,40
3700,15,4
