ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
14716.dat,15,White,14716,1,White,14716,14716,6055541,6548277,2026,69,,yes,,0.14,BRICK 1X1X3,"likely (current, listed 2022)"
15332.dat,15,White,15332,1,White,15332,15332,6047813,6615529,2026,7,,yes,,0.36,FENCE 1X4X2 W. 4 KNOBS,"likely (current, listed 2022)"
2431.dat,0,Black,2431,11,Black,2431,2431,243126,,2026,269,,yes,,0.13,FLAT TILE 1X4,"likely (current, listed 2022)"
2431.dat,15,White,2431,1,White,2431,2431,243101,6548255,2026,193,,yes,,0.13,FLAT TILE 1X4,"likely (current, listed 2022)"
2445.dat,15,White,2445,1,White,2445,2445,244501,6552091,2026,49,,yes,,0.35,PLATE 2X12,"likely (current, listed 2022)"
24866.dat,30,Medium Lavender,24866,157,Medium Lavender,24866,24866,6209684,,2026,63,,yes,,0.06,FLOWER 1X1,"likely (current, listed 2022)"
2877.dat,15,White,2877,1,White,2877,2877,287701,6552093,2026,28,,yes,,0.11,PROFILE BRICK 1X2,"likely (current, listed 2022)"
3001.dat,71,Medium Stone Grey,3001,86,Light Bluish Gray,3001,3001,4211385,,2026,141,yes,yes,0.21,0.21,BRICK 2X4,listed on Pick a Brick (2025)
3004.dat,0,Black,3004,11,Black,3004,3004,300426,,2026,198,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3004.dat,71,Medium Stone Grey,3004,86,Light Bluish Gray,3004,3004,4211388,,2026,160,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3004.dat,72,Dark Stone Grey,3004,85,Dark Bluish Gray,3004,3004,4211088,,2026,141,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3005.dat,0,Black,3005,11,Black,3005,3005,300526,,2026,200,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,15,White,3005,1,White,3005,3005,300501,300551 6548258 6552096,2026,234,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,19,Brick Yellow,3005,2,Tan,3005,3005,4113915,300505,2026,137,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,28,Sand Yellow,3005,69,Dark Tan,3005,3005,6001824,4497070,2026,84,yes,,0.07,,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,71,Medium Stone Grey,3005,86,Light Bluish Gray,3005,3005,4211389,,2026,184,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,72,Dark Stone Grey,3005,85,Dark Bluish Gray,3005,3005,4211098,,2026,142,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3008.dat,15,White,3008,1,White,3008,3008,300801,6550134,2026,66,,yes,,0.29,BRICK 1X8,"likely (current, listed 2022)"
3008.dat,72,Dark Stone Grey,3008,85,Dark Bluish Gray,3008,3008,4211099,,2026,50,,yes,,0.29,BRICK 1X8,"likely (current, listed 2022)"
3009.dat,72,Dark Stone Grey,3009,85,Dark Bluish Gray,3009,3009,4211100,,2026,84,,yes,,0.25,BRICK 1X6,"likely (current, listed 2022)"
3010.dat,0,Black,3010,11,Black,3010,3010,301026,,2026,175,yes,yes,0.16,0.15,BRICK 1X4,listed on Pick a Brick (2025)
3010.dat,71,Medium Stone Grey,3010,86,Light Bluish Gray,3010,3010,4211394,,2026,150,yes,yes,0.16,0.15,BRICK 1X4,listed on Pick a Brick (2025)
3010.dat,72,Dark Stone Grey,3010,85,Dark Bluish Gray,3010,3010,4211103,,2026,92,yes,yes,0.16,0.15,BRICK 1X4,listed on Pick a Brick (2025)
3020.dat,2,Dark Green,3020,6,Green,3020,3020,302028,,2026,106,yes,yes,0.14,0.14,PLATE 2X4,listed on Pick a Brick (2025)
3020.dat,15,White,3020,1,White,3020,3020,302001,6552098,2026,315,yes,yes,0.14,0.14,PLATE 2X4,listed on Pick a Brick (2025)
3022.dat,2,Dark Green,3022,6,Green,3022,3022,302228,,2026,102,yes,yes,0.09,0.11,PLATE 2X2,listed on Pick a Brick (2025)
3023b.dat,0,Black,3023,11,Black,3023,3023,302326,,2026,502,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3023b.dat,2,Dark Green,3023,6,Green,3023,3023,302328,,2026,158,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3023b.dat,15,White,3023,1,White,3023,3023,302301,6548261 6552100,2026,520,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3024.dat,72,Dark Stone Grey,3024,85,Dark Bluish Gray,3024,3024,4210719,,2026,197,yes,yes,0.05,0.06,PLATE 1X1,listed on Pick a Brick (2025)
3031.dat,71,Medium Stone Grey,3031,86,Light Bluish Gray,3031,3031,4243797,4211403,2026,112,,yes,,0.21,PLATE 4X4,"likely (current, listed 2022)"
3032.dat,2,Dark Green,3032,6,Green,3032,3032,4116671,,2026,45,,yes,,0.43,PLATE 4X6,"likely (current, listed 2022)"
3033.dat,15,White,3033,1,White,3033,3033,4528341,303301,2026,17,,yes,,0.86,PLATE 6X10,"likely (current, listed 2022)"
3034.dat,2,Dark Green,3034,6,Green,3034,3034,303428,,2026,32,,yes,,0.25,PLATE 2X8,"likely (current, listed 2022)"
3034.dat,70,Reddish Brown,3034,88,Reddish Brown,3034,3034,4211211,,2026,85,,yes,,0.25,PLATE 2X8,"likely (current, listed 2022)"
3034.dat,71,Medium Stone Grey,3034,86,Light Bluish Gray,3034,3034,4211406,,2026,150,,yes,,0.25,PLATE 2X8,"likely (current, listed 2022)"
3035.dat,2,Dark Green,3035,6,Green,3035,3035,4277361,,2026,24,,yes,,0.46,PLATE 4X8,"likely (current, listed 2022)"
3035.dat,15,White,3035,1,White,3035,3035,303501,6609533,2026,57,,yes,,0.46,PLATE 4X8,"likely (current, listed 2022)"
