Section,Element ID,Quantity,Description,LEGO colour
"Grounds, porte-cochere, flowers and flags",306226,1,Brick Round 1 x 1,Black
"Grounds, porte-cochere, flowers and flags",4529236,1,Cone 1 x 1,Black
"Grounds, porte-cochere, flowers and flags",371026,8,Plate 1 x 4,Black
"Grounds, porte-cochere, flowers and flags",306926,12,Tile 1 x 2,Black
"Grounds, porte-cochere, flowers and flags",243126,8,Tile 1 x 4,Black
"Grounds, porte-cochere, flowers and flags",416226,4,Tile 1 x 8,Black
"Grounds, porte-cochere, flowers and flags",6148262,2,Brick 1 x 2 with Masonry Profile,Brick Yellow
"Grounds, porte-cochere, flowers and flags",6229130,13,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green
"Grounds, porte-cochere, flowers and flags",302328,2,Plate 1 x 2,Dark Green
"Grounds, porte-cochere, flowers and flags",366628,1,Plate 1 x 6,Dark Green
"Grounds, porte-cochere, flowers and flags",346028,13,Plate 1 x 8,Dark Green
"Grounds, porte-cochere, flowers and flags",383228,1,Plate 2 x 10,Dark Green
"Grounds, porte-cochere, flowers and flags",302228,1,Plate 2 x 2,Dark Green
"Grounds, porte-cochere, flowers and flags",302028,1,Plate 2 x 4,Dark Green
"Grounds, porte-cochere, flowers and flags",303428,1,Plate 2 x 8,Dark Green
"Grounds, porte-cochere, flowers and flags",4116671,1,Plate 4 x 6,Dark Green
"Grounds, porte-cochere, flowers and flags",4277361,5,Plate 4 x 8,Dark Green
"Grounds, porte-cochere, flowers and flags",4507311,9,Plate 6 x 8,Dark Green
"Grounds, porte-cochere, flowers and flags",4211098,2,Brick 1 x 1,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",6000311,4,Brick 1 x 2 with Masonry Profile,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",6004927,6,Plate 16 x 16,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4517996,7,Plate Round 1 x 1,Light Purple
"Grounds, porte-cochere, flowers and flags",6209684,4,Plant Flower 1 x 1,Medium Lavender
"Grounds, porte-cochere, flowers and flags",6000066,12,Brick 1 x 2 with Masonry Profile,Medium Stone Grey
"Grounds, porte-cochere, flowers and flags",4211429,2,Plate 1 x 3,Medium Stone Grey
"Grounds, porte-cochere, flowers and flags",4211414,3,Tile 1 x 2,Medium Stone Grey
"Grounds, porte-cochere, flowers and flags",4558169,1,Tile 1 x 3,Medium Stone Grey
"Grounds, porte-cochere, flowers and flags",4211549,3,Tile 1 x 6,Medium Stone Grey
"Grounds, porte-cochere, flowers and flags",4211481,11,Tile 1 x 8,Medium Stone Grey
"Grounds, porte-cochere, flowers and flags",4211413,1,Tile 2 x 2,Medium Stone Grey
"Grounds, porte-cochere, flowers and flags",4211183,2,Brick Round 1 x 1,Reddish Brown
"Grounds, porte-cochere, flowers and flags",4211152,1,Plate 1 x 3,Reddish Brown
"Grounds, porte-cochere, flowers and flags",4221590,1,Plate 1 x 6,Reddish Brown
