Element ID,Quantity,Description,LEGO colour,Design ID,BrickLink part,BrickLink colour,Alternate element IDs,Last year in a set,Availability (from data),Pick a Brick unit price seen (USD)
300526,25,Brick 1 x 1,Black,3005,3005,Black,,2026,listed on Pick a Brick (2025),0.07
407026,2,Brick 1 x 1 with Headlight,Black,4070,4070,Black,,2026,likely (in current sets),
4558954,4,Brick 1 x 1 with Stud on 1 Side,Black,87087,87087,Black,,2026,"likely (current, listed 2022)",0.13
300426,3,Brick 1 x 2,Black,3004,3004,Black,,2026,listed on Pick a Brick (2025),0.10
301026,4,Brick 1 x 4,Black,3010,3010,Black,,2026,listed on Pick a Brick (2025),0.16
306226,1,Brick Round 1 x 1,Black,3062,3062,Black,,2026,"likely (current, listed 2022)",0.06
4529236,1,Cone 1 x 1,Black,59900,4589,Black,4518219 458926,2026,"likely (current, listed 2022)",0.07
302326,4,Plate 1 x 2,Black,3023,3023,Black,,2026,listed on Pick a Brick (2025),0.07
371026,8,Plate 1 x 4,Black,3710,3710,Black,,2026,listed on Pick a Brick (2025),0.10
428626,13,Slope 33 3 x 1,Black,4286,4286,Black,,2026,"likely (current, listed 2022)",0.11
329826,68,Slope 33 3 x 2,Black,3298,3298,Black,,2026,"likely (current, listed 2022)",0.14
303926,18,Slope 45 2 x 2,Black,3039,3039,Black,,2026,"likely (current, listed 2022)",0.14
306926,15,Tile 1 x 2,Black,3069,3069,Black,,2026,"likely (current, listed 2022)",0.07
243126,9,Tile 1 x 4,Black,2431,2431,Black,,2026,"likely (current, listed 2022)",0.13
663626,1,Tile 1 x 6,Black,6636,6636,Black,,2026,"likely (current, listed 2022)",0.14
416226,11,Tile 1 x 8,Black,4162,4162,Black,,2026,"likely (current, listed 2022)",0.14
306826,4,Tile 2 x 2,Black,3068,3068,Black,,2026,"likely (current, listed 2022)",0.08
6284070,4,Tile Round 1 x 1,Black,35381,98138,Black,6139403,2026,"likely (current, listed 2022)",0.04
4113915,5,Brick 1 x 1,Brick Yellow,3005,3005,Tan,300505,2026,listed on Pick a Brick (2025),0.07
6148262,6,Brick 1 x 2 with Masonry Profile,Brick Yellow,98283,98283,Tan,,2026,"likely (current, listed 2022)",0.14
307021,2,Tile 1 x 1,Bright Red,3070,3070,Red,,2027,"likely (current, listed 2022)",0.06
6229130,13,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green,32607,32607,Green,,2026,"likely (current, listed 2022)",0.06
302328,2,Plate 1 x 2,Dark Green,3023,3023,Green,,2026,listed on Pick a Brick (2025),0.07
366628,1,Plate 1 x 6,Dark Green,3666,3666,Green,,2026,"likely (current, listed 2022)",0.14
346028,13,Plate 1 x 8,Dark Green,3460,3460,Green,,2026,"likely (current, listed 2022)",0.18
383228,1,Plate 2 x 10,Dark Green,3832,3832,Green,,2026,"likely (current, listed 2022)",0.25
302228,1,Plate 2 x 2,Dark Green,3022,3022,Green,,2026,listed on Pick a Brick (2025),0.09
302028,1,Plate 2 x 4,Dark Green,3020,3020,Green,,2026,listed on Pick a Brick (2025),0.14
303428,1,Plate 2 x 8,Dark Green,3034,3034,Green,,2026,"likely (current, listed 2022)",0.25
4116671,1,Plate 4 x 6,Dark Green,3032,3032,Green,,2026,"likely (current, listed 2022)",0.43
4277361,5,Plate 4 x 8,Dark Green,3035,3035,Green,,2026,"likely (current, listed 2022)",0.46
4507311,9,Plate 6 x 8,Dark Green,3036,3036,Green,303628 303678,2026,"likely (current, listed 2022)",0.67
4211098,35,Brick 1 x 1,Dark Stone Grey,3005,3005,Dark Bluish Gray,,2026,listed on Pick a Brick (2025),0.07
4211088,15,Brick 1 x 2,Dark Stone Grey,3004,3004,Dark Bluish Gray,,2026,listed on Pick a Brick (2025),0.10
6000311,14,Brick 1 x 2 with Masonry Profile,Dark Stone Grey,98283,98283,Dark Bluish Gray,,2026,"likely (current, listed 2022)",0.14
4211104,11,Brick 1 x 3,Dark Stone Grey,3622,3622,Dark Bluish Gray,,2026,listed on Pick a Brick (2025),0.14
4211103,30,Brick 1 x 4,Dark Stone Grey,3010,3010,Dark Bluish Gray,,2026,listed on Pick a Brick (2025),0.16
4211100,24,Brick 1 x 6,Dark Stone Grey,3009,3009,Dark Bluish Gray,,2026,"likely (current, listed 2022)",0.25
4211099,30,Brick 1 x 8,Dark Stone Grey,3008,3008,Dark Bluish Gray,,2026,"likely (current, listed 2022)",0.29
4210719,1,Plate 1 x 1,Dark Stone Grey,3024,3024,Dark Bluish Gray,,2026,listed on Pick a Brick (2025),0.05
4257526,3,Plate 1 x 10,Dark Stone Grey,4477,4477,Dark Bluish Gray,4210816,2026,"likely (current, listed 2022)",0.18
4211133,1,Plate 1 x 3,Dark Stone Grey,3623,3623,Dark Bluish Gray,,2026,listed on Pick a Brick (2025),0.07
4211001,1,Plate 1 x 4,Dark Stone Grey,3710,3710,Dark Bluish Gray,,2026,listed on Pick a Brick (2025),0.10
4211056,1,Plate 1 x 6,Dark Stone Grey,3666,3666,Dark Bluish Gray,,2026,"likely (current, listed 2022)",0.14
6004927,6,Plate 16 x 16,Dark Stone Grey,91405,91405,Dark Bluish Gray,,2026,"likely (current, listed 2022)",3.04
4517996,7,Plate Round 1 x 1,Light Purple,6141,4073,Bright Pink,,2026,"likely (current, listed 2022)",0.06
6209684,4,Plant Flower 1 x 1,Medium Lavender,24866,24866,Medium Lavender,,2026,"likely (current, listed 2022)",0.06
4211389,21,Brick 1 x 1,Medium Stone Grey,3005,3005,Light Bluish Gray,,2026,listed on Pick a Brick (2025),0.07
4211388,1,Brick 1 x 2,Medium Stone Grey,3004,3004,Light Bluish Gray,,2026,listed on Pick a Brick (2025),0.10
6000066,29,Brick 1 x 2 with Masonry Profile,Medium Stone Grey,98283,98283,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.14
4211394,2,Brick 1 x 4,Medium Stone Grey,3010,3010,Light Bluish Gray,,2026,listed on Pick a Brick (2025),0.16
4211385,4,Brick 2 x 4,Medium Stone Grey,3001,3001,Light Bluish Gray,,2026,listed on Pick a Brick (2025),0.21
4211429,2,Plate 1 x 3,Medium Stone Grey,3623,3623,Light Bluish Gray,3623194,2026,listed on Pick a Brick (2025),0.07
4211445,1,Plate 1 x 4,Medium Stone Grey,3710,3710,Light Bluish Gray,,2026,listed on Pick a Brick (2025),0.10
4211425,1,Plate 1 x 8,Medium Stone Grey,3460,3460,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.18
4211406,1,Plate 2 x 8,Medium Stone Grey,3034,3034,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.25
4243797,1,Plate 4 x 4,Medium Stone Grey,3031,3031,Light Bluish Gray,4211403,2026,"likely (current, listed 2022)",0.21
4211407,1,Plate 4 x 8,Medium Stone Grey,3035,3035,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.46
4211474,2,Plate 6 x 6,Medium Stone Grey,3958,3958,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.50
4211408,2,Plate 6 x 8,Medium Stone Grey,3036,3036,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.67
4211415,3,Tile 1 x 1,Medium Stone Grey,3070,3070,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.06
4211414,11,Tile 1 x 2,Medium Stone Grey,3069,3069,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.07
4558169,3,Tile 1 x 3,Medium Stone Grey,63864,63864,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.11
4211549,3,Tile 1 x 6,Medium Stone Grey,6636,6636,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.14
4211481,11,Tile 1 x 8,Medium Stone Grey,4162,4162,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.14
4211413,3,Tile 2 x 2,Medium Stone Grey,3068,3068,Light Bluish Gray,,2026,"likely (current, listed 2022)",0.08
4211183,2,Brick Round 1 x 1,Reddish Brown,3062,3062,Reddish Brown,,2026,"likely (current, listed 2022)",0.06
4211152,1,Plate 1 x 3,Reddish Brown,3623,3623,Reddish Brown,,2026,listed on Pick a Brick (2025),0.07
4221590,1,Plate 1 x 6,Reddish Brown,3666,3666,Reddish Brown,,2026,"likely (current, listed 2022)",0.14
4216945,1,Plate 1 x 8,Reddish Brown,3460,3460,Reddish Brown,,2026,"likely (current, listed 2022)",0.18
4211247,1,Plate 2 x 6,Reddish Brown,3795,3795,Reddish Brown,,2026,"likely (current, listed 2022)",0.19
4211211,1,Plate 2 x 8,Reddish Brown,3034,3034,Reddish Brown,,2026,"likely (current, listed 2022)",0.25
