Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
1,300526,25,BRICK 1X1,Black,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,,,3005 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300526
2,407026,2,(not listed),Black,4070,Brick 1 x 1 with Headlight,Not on the Pick a Brick listings checked; in LEGO sets in 2026,,,,,,4070 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=407026
3,4558954,4,BRICK 1X1 W. 1 KNOB,Black,87087,Brick 1 x 1 with Stud on 1 Side,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,,,,87087 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4558954
4,300426,3,BRICK 1X2,Black,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,,,,3004 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300426
5,301026,4,BRICK 1X4,Black,3010,Brick 1 x 4,On Pick a Brick (late-2025 listing),0.16,late 2025,,,,3010 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=301026
6,306226,1,ROUND BRICK 1X1,Black,3062,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,3062 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=306226
7,4529236,1,NOSE CONE SMALL 1X1,Black,59900,Cone 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,,4518219 458926,4589 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4529236
8,302326,4,PLATE 1X2,Black,3023,Plate 1 x 2,On Pick a Brick (late-2025 listing),0.07,late 2025,,,,3023 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302326
9,371026,8,PLATE 1X4,Black,3710,Plate 1 x 4,On Pick a Brick (late-2025 listing),0.1,late 2025,,,,3710 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=371026
10,428626,13,ROOF TILE 1X3/25°,Black,4286,Slope 33 3 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,yes,,,4286 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=428626
