elementId,quantity
300526,25
407026,2
4558954,4
300426,3
301026,4
306226,1
4529236,1
302326,4
371026,8
428626,13
329826,68
303926,18
306926,15
243126,9
663626,1
416226,11
306826,4
6284070,4
4113915,5
6148262,6
307021,2
6229130,13
302328,2
366628,1
346028,13
383228,1
302228,1
302028,1
303428,1
4116671,1
4277361,5
4507311,9
4211098,35
4211088,15
6000311,14
4211104,11
4211103,30
4211100,24
4211099,30
4210719,1
4257526,3
4211133,1
4211001,1
4211056,1
6004927,6
4517996,7
6209684,4
4211389,21
4211388,1
6000066,29
4211394,2
4211385,4
4211429,2
4211445,1
4211425,1
4211406,1
4243797,1
4211407,1
4211474,2
4211408,2
4211415,3
4211414,11
4558169,3
4211549,3
4211481,11
4211413,3
4211183,2
4211152,1
4221590,1
4216945,1
4211247,1
4211211,1
6001824,5
4646577,3
6524697,9
6581359,5
6514236,1
6274740,2
300501,54
6055541,3
287701,2
300801,2
6047813,1
302301,3
346001,3
383201,1
244501,2
302001,2
303501,1
4528341,3
4144012,5
428601,23
4121932,6
243101,1
6550187,9
6468341,5
