Part,Color,Quantity
3005,0,25
4070,0,2
87087,0,4
3004,0,3
3010,0,4
3062b,0,1
59900,0,1
3023,0,4
3710,0,8
4286,0,13
3298,0,68
3039,0,18
3069b,0,15
2431,0,9
6636,0,1
4162,0,11
3068b,0,4
98138,0,4
3005,19,5
98283,19,6
3070b,4,2
32607,2,13
3023,2,2
3666,2,1
3460,2,13
3832,2,1
3022,2,1
3020,2,1
3034,2,1
3032,2,1
3035,2,5
3036,2,9
3005,72,35
3004,72,15
98283,72,14
3622,72,11
3010,72,30
3009,72,24
3008,72,30
3024,72,1
4477,72,3
3623,72,1
3710,72,1
3666,72,1
91405,72,6
6141,29,7
24866,30,4
3005,71,21
3004,71,1
98283,71,29
3010,71,2
3001,71,4
3623,71,2
3710,71,1
3460,71,1
3034,71,1
3031,71,1
3035,71,1
3958,71,2
3036,71,2
3070b,71,3
3069b,71,11
63864,71,3
6636,71,3
4162,71,11
3068b,71,3
3062b,70,2
3623,70,1
3666,70,1
3460,70,1
3795,70,1
3034,70,1
3005,28,5
98283,28,3
60601,47,9
60602,47,5
3062b,46,1
98138,46,2
3005,15,54
14716,15,3
2877,15,2
3008,15,2
15332,15,1
3023,15,3
3460,15,3
3832,15,1
2445,15,2
3020,15,2
3035,15,1
3033,15,3
3958,15,5
4286,15,23
3040b,15,6
2431,15,1
60592,15,9
60593,15,5
