Element ID,Quantity,Description,LEGO colour,Unit price (USD),Price seen,Line cost (USD)
4113915,1,Brick 1 x 1,Brick Yellow,0.07,late 2025,0.07
4109995,1,Brick 1 x 2,Brick Yellow,0.10,late 2025,0.10
4173805,1,Brick 1 x 1,Bright Orange,0.07,late 2025,0.07
4121739,4,Brick 1 x 2,Bright Orange,0.10,late 2025,0.40
4153825,2,Brick 2 x 2,Bright Orange,0.13,late 2025,0.26
6253884,4,Plant Plate Round 1 x 1 with 3 Leaves,Bright Orange,0.06,2022,0.24
4524929,2,Plate 1 x 1,Bright Orange,0.05,late 2025,0.10
4177932,4,Plate 1 x 2,Bright Orange,0.07,late 2025,0.28
4159007,1,Plate 2 x 2,Bright Orange,0.09,late 2025,0.09
4125278,2,Plate 2 x 3,Bright Orange,0.14,2022,0.28
4157103,1,Plate Round 1 x 1,Bright Orange,0.06,2022,0.06
4504371,8,Slope 30 1 x 1 x 2/3,Bright Orange,0.06,2022,0.48
6173925,7,Tile Round 1 x 1 Quarter,Bright Orange,0.05,2022,0.35
306221,9,Brick Round 1 x 1,Bright Red,0.06,2022,0.54
4210719,3,Plate 1 x 1,Dark Stone Grey,0.05,late 2025,0.15
4211061,1,Plate 4 x 8,Dark Stone Grey,0.46,2022,0.46
4210794,1,Plate 6 x 8,Dark Stone Grey,0.67,2022,0.67
4210848,8,Tile 1 x 1,Dark Stone Grey,0.06,2022,0.48
4211052,3,Tile 1 x 2,Dark Stone Grey,0.07,2022,0.21
4568734,2,Tile 1 x 3,Dark Stone Grey,0.11,2022,0.22
4211053,1,Tile 1 x 4,Dark Stone Grey,0.13,2022,0.13
4211008,1,Tile 1 x 8,Dark Stone Grey,0.14,2022,0.14
6057986,4,Brick 1 x 1,Medium Nougat,0.07,late 2025,0.28
4569382,3,Brick 1 x 2,Medium Nougat,0.10,late 2025,0.30
6284589,1,Tile Round 1 x 1,Medium Nougat,0.04,2022,0.04
4211242,4,Brick 1 x 1,Reddish Brown,0.07,late 2025,0.28
4211149,5,Brick 1 x 2,Reddish Brown,0.10,late 2025,0.50
4211181,3,Brick 1 x 4 Log,Reddish Brown,0.19,2022,0.57
4211210,1,Brick 2 x 2,Reddish Brown,0.13,late 2025,0.13
4221744,1,Plate 1 x 1,Reddish Brown,0.05,late 2025,0.05
4216581,1,Plate Round 1 x 1,Reddish Brown,0.06,2022,0.06
6244796,3,Brick 1 x 1 with Headlight,Transparent,0.14,2022,0.42
6244904,3,Brick 1 x 2 without Bottom Tube,Transparent,0.12,2022,0.36
6223655,3,Brick Round 1 x 1,Transparent,0.07,2022,0.21
6245269,8,Panel 1 x 4 x 3,Transparent,0.38,2022,3.04
6240204,12,Plate 1 x 2,Transparent,0.10,2022,1.20
6254254,12,Tile 1 x 1,Transparent,0.06,2022,0.72
6274738,4,Tile Round 1 x 1,Transparent,0.04,2022,0.16
614101,2,Plate Round 1 x 1,White,0.06,2022,0.12
,137,Total for one copy,,,,14.22
