Section,Element ID,Quantity,Description,LEGO colour
"Board, cinnamon sticks, leaves and ice",6253884,3,Plant Plate Round 1 x 1 with 3 Leaves,Bright Orange
"Board, cinnamon sticks, leaves and ice",4210719,3,Plate 1 x 1,Dark Stone Grey
"Board, cinnamon sticks, leaves and ice",4211061,1,Plate 4 x 8,Dark Stone Grey
"Board, cinnamon sticks, leaves and ice",4210794,1,Plate 6 x 8,Dark Stone Grey
"Board, cinnamon sticks, leaves and ice",4210848,8,Tile 1 x 1,Dark Stone Grey
"Board, cinnamon sticks, leaves and ice",4211052,3,Tile 1 x 2,Dark Stone Grey
"Board, cinnamon sticks, leaves and ice",4568734,2,Tile 1 x 3,Dark Stone Grey
"Board, cinnamon sticks, leaves and ice",4211053,1,Tile 1 x 4,Dark Stone Grey
"Board, cinnamon sticks, leaves and ice",4211008,1,Tile 1 x 8,Dark Stone Grey
"Board, cinnamon sticks, leaves and ice",4211181,3,Brick 1 x 4 Log,Reddish Brown
"Board, cinnamon sticks, leaves and ice",6244796,1,Brick 1 x 1 with Headlight,Transparent
"Board, cinnamon sticks, leaves and ice",6244904,1,Brick 1 x 2 without Bottom Tube,Transparent
Glass,4113915,1,Brick 1 x 1,Brick Yellow
Glass,4109995,1,Brick 1 x 2,Brick Yellow
Glass,4121739,2,Brick 1 x 2,Bright Orange
Glass,4153825,1,Brick 2 x 2,Bright Orange
Glass,4177932,2,Plate 1 x 2,Bright Orange
Glass,4159007,1,Plate 2 x 2,Bright Orange
Glass,4157103,1,Plate Round 1 x 1,Bright Orange
Glass,4504371,4,Slope 30 1 x 1 x 2/3,Bright Orange
Glass,6173925,3,Tile Round 1 x 1 Quarter,Bright Orange
Glass,306221,9,Brick Round 1 x 1,Bright Red
Glass,6057986,4,Brick 1 x 1,Medium Nougat
Glass,4569382,3,Brick 1 x 2,Medium Nougat
Glass,6284589,1,Tile Round 1 x 1,Medium Nougat
Glass,4211242,4,Brick 1 x 1,Reddish Brown
Glass,4211149,5,Brick 1 x 2,Reddish Brown
Glass,4211210,1,Brick 2 x 2,Reddish Brown
Glass,4221744,1,Plate 1 x 1,Reddish Brown
Glass,6244796,2,Brick 1 x 1 with Headlight,Transparent
Glass,6244904,2,Brick 1 x 2 without Bottom Tube,Transparent
Glass,6223655,3,Brick Round 1 x 1,Transparent
Glass,6245269,8,Panel 1 x 4 x 3,Transparent
Glass,6240204,12,Plate 1 x 2,Transparent
Glass,6254254,12,Tile 1 x 1,Transparent
Glass,6274738,4,Tile Round 1 x 1,Transparent
Glass,614101,2,Plate Round 1 x 1,White
Pumpkin,4173805,1,Brick 1 x 1,Bright Orange
Pumpkin,4121739,2,Brick 1 x 2,Bright Orange
Pumpkin,4153825,1,Brick 2 x 2,Bright Orange
Pumpkin,6253884,1,Plant Plate Round 1 x 1 with 3 Leaves,Bright Orange
Pumpkin,4524929,2,Plate 1 x 1,Bright Orange
Pumpkin,4177932,2,Plate 1 x 2,Bright Orange
Pumpkin,4125278,2,Plate 2 x 3,Bright Orange
Pumpkin,4504371,4,Slope 30 1 x 1 x 2/3,Bright Orange
Pumpkin,6173925,4,Tile Round 1 x 1 Quarter,Bright Orange
Pumpkin,4216581,1,Plate Round 1 x 1,Reddish Brown
