Element ID,Quantity,Description,LEGO colour,Design ID,BrickLink part,BrickLink colour,Alternate element IDs,Last year in a set,Availability (from data),Pick a Brick unit price seen (USD)
4113915,1,Brick 1 x 1,Brick Yellow,3005,3005,Tan,300505,2026,listed on Pick a Brick (2025),0.07
4109995,1,Brick 1 x 2,Brick Yellow,3004,3004,Tan,300405,2026,listed on Pick a Brick (2025),0.10
4173805,1,Brick 1 x 1,Bright Orange,3005,3005,Orange,4119645,2026,listed on Pick a Brick (2025),0.07
4121739,4,Brick 1 x 2,Bright Orange,3004,3004,Orange,4613981,2026,listed on Pick a Brick (2025),0.10
4153825,2,Brick 2 x 2,Bright Orange,3003,3003,Orange,4119643,2026,listed on Pick a Brick (2025),0.13
6253884,4,Plant Plate Round 1 x 1 with 3 Leaves,Bright Orange,32607,32607,Orange,,2026,"likely (current, listed 2022)",0.06
4524929,2,Plate 1 x 1,Bright Orange,3024,3024,Orange,4122463 4160471 4203454,2026,listed on Pick a Brick (2025),0.05
4177932,4,Plate 1 x 2,Bright Orange,3023,3023,Orange,4122464 4163009,2026,listed on Pick a Brick (2025),0.07
4159007,1,Plate 2 x 2,Bright Orange,3022,3022,Orange,3022106 4122467 4613982,2026,listed on Pick a Brick (2025),0.09
4125278,2,Plate 2 x 3,Bright Orange,3021,3021,Orange,,2026,"likely (current, listed 2022)",0.14
4157103,1,Plate Round 1 x 1,Bright Orange,6141,4073,Orange,,2026,"likely (current, listed 2022)",0.06
4504371,8,Slope 30 1 x 1 x 2/3,Bright Orange,54200,54200,Orange,4248195,2026,"likely (current, listed 2022)",0.06
6173925,7,Tile Round 1 x 1 Quarter,Bright Orange,25269,25269,Orange,,2026,"likely (current, listed 2022)",0.05
306221,9,Brick Round 1 x 1,Bright Red,3062,3062,Red,,2026,"likely (current, listed 2022)",0.06
4210719,3,Plate 1 x 1,Dark Stone Grey,3024,3024,Dark Bluish Gray,,2026,listed on Pick a Brick (2025),0.05
4211061,1,Plate 4 x 8,Dark Stone Grey,3035,3035,Dark Bluish Gray,,2026,"likely (current, listed 2022)",0.46
4210794,1,Plate 6 x 8,Dark Stone Grey,3036,3036,Dark Bluish Gray,,2026,"likely (current, listed 2022)",0.67
4210848,8,Tile 1 x 1,Dark Stone Grey,3070,3070,Dark Bluish Gray,,2026,"likely (current, listed 2022)",0.06
4211052,3,Tile 1 x 2,Dark Stone Grey,3069,3069,Dark Bluish Gray,,2026,"likely (current, listed 2022)",0.07
4568734,2,Tile 1 x 3,Dark Stone Grey,63864,63864,Dark Bluish Gray,,2026,"likely (current, listed 2022)",0.11
4211053,1,Tile 1 x 4,Dark Stone Grey,2431,2431,Dark Bluish Gray,,2026,"likely (current, listed 2022)",0.13
4211008,1,Tile 1 x 8,Dark Stone Grey,4162,4162,Dark Bluish Gray,5210651,2026,"likely (current, listed 2022)",0.14
6057986,4,Brick 1 x 1,Medium Nougat,3005,3005,Medium Nougat,4569624,2026,listed on Pick a Brick (2025),0.07
4569382,3,Brick 1 x 2,Medium Nougat,3004,3004,Medium Nougat,,2026,listed on Pick a Brick (2025),0.10
6284589,1,Tile Round 1 x 1,Medium Nougat,35381,98138,Medium Nougat,6055383,2026,"likely (current, listed 2022)",0.04
4211242,4,Brick 1 x 1,Reddish Brown,3005,3005,Reddish Brown,,2026,listed on Pick a Brick (2025),0.07
4211149,5,Brick 1 x 2,Reddish Brown,3004,3004,Reddish Brown,4613963,2026,listed on Pick a Brick (2025),0.10
4211181,3,Brick 1 x 4 Log,Reddish Brown,30137,30137,Reddish Brown,,2026,"likely (current, listed 2022)",0.19
4211210,1,Brick 2 x 2,Reddish Brown,3003,3003,Reddish Brown,,2026,listed on Pick a Brick (2025),0.13
4221744,1,Plate 1 x 1,Reddish Brown,3024,3024,Reddish Brown,,2026,listed on Pick a Brick (2025),0.05
4216581,1,Plate Round 1 x 1,Reddish Brown,6141,4073,Reddish Brown,,2026,"likely (current, listed 2022)",0.06
6244796,3,Brick 1 x 1 with Headlight,Transparent,35388,4070,Trans-Clear,4215618 6514231,2026,"likely (current, listed 2022)",0.14
6244904,3,Brick 1 x 2 without Bottom Tube,Transparent,35743,3065,Trans-Clear,306510 306540 6514262,2026,"likely (current, listed 2022)",0.12
6223655,3,Brick Round 1 x 1,Transparent,35390,3062,Trans-Clear,3006840 306210 306240 6012880 6514232,2026,"likely (current, listed 2022)",0.07
6245269,8,Panel 1 x 4 x 3,Transparent,35323,60581,Trans-Clear,4594686 6344088 6514156,2026,"likely (current, listed 2022)",0.38
6240204,12,Plate 1 x 2,Transparent,28653,3023,Trans-Clear,302310 4167842 622540 6514001,2026,"likely (current, listed 2022)",0.10
6254254,12,Tile 1 x 1,Transparent,35403,3070,Trans-Clear,4162145 6047501 6581822,2026,"likely (current, listed 2022)",0.06
6274738,4,Tile Round 1 x 1,Transparent,35380,98138,Trans-Clear,4650498 6514191,2026,"likely (current, listed 2022)",0.04
614101,2,Plate Round 1 x 1,White,6141,4073,White,6601919,2026,"likely (current, listed 2022)",0.06
