Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
1,4113915,1,BRICK 1X1,Brick Yellow,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,,,300505,3005 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4113915
2,4109995,1,BRICK 1X2,Brick Yellow,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,,,300405,3004 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4109995
3,4173805,1,BRICK 1X1,Bright Orange,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,,,4119645,3005 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4173805
4,4121739,4,BRICK 1X2,Bright Orange,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,,4613981,,3004 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4121739
5,4153825,2,BRICK 2X2,Bright Orange,3003,Brick 2 x 2,On Pick a Brick (late-2025 listing),0.13,late 2025,,,4119643,3003 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4153825
6,6253884,4,"PLANT, W/ PLATE 1X1, NO. 1",Bright Orange,32607,Plant Plate Round 1 x 1 with 3 Leaves,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,32607 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6253884
7,4524929,2,PLATE 1X1,Bright Orange,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,,,4122463 4160471 4203454,3024 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4524929
8,4177932,4,PLATE 1X2,Bright Orange,3023,Plate 1 x 2,On Pick a Brick (late-2025 listing),0.07,late 2025,,,4122464 4163009,3023 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4177932
9,4159007,1,PLATE 2X2,Bright Orange,3022,Plate 2 x 2,On Pick a Brick (late-2025 listing),0.09,late 2025,,4613982,3022106 4122467,3022 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4159007
10,4125278,2,PLATE 2X3,Bright Orange,3021,Plate 2 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,3021 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4125278
11,4157103,1,ROUND PLATE 1X1,Bright Orange,6141,Plate Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,4073 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4157103
12,4504371,8,"ROOF TILE 1X1X2/3, ABS",Bright Orange,54200,Slope 30 1 x 1 x 2/3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,4248195,54200 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4504371
13,6173925,7,1/4 CIRCLE TILE 1X1,Bright Orange,25269,Tile Round 1 x 1 Quarter,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.05,2022,,,,25269 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6173925
14,306221,9,ROUND BRICK 1X1,Bright Red,3062,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,3062 / Red,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=306221
