elementId,quantity
4113915,25
4109995,25
4173805,25
4121739,100
4153825,50
6253884,100
4524929,50
4177932,100
4159007,25
4125278,50
4157103,25
4504371,200
6173925,175
306221,225
4210719,75
4211061,25
4210794,25
4210848,200
4211052,75
4568734,50
4211053,25
4211008,25
6057986,100
4569382,75
6284589,25
4211242,100
4211149,125
4211181,75
4211210,25
4221744,25
4216581,25
6244796,75
6244904,75
6223655,75
6245269,200
6240204,300
6254254,300
6274738,100
614101,50
