ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
14769.dat,15,White,14769,1,White,14769,14769,6044691,6601846,2026,83,,yes,,0.08,"FLAT TILE 2X2, ROUND","likely (current, listed 2022)"
2431.dat,19,Brick Yellow,2431,2,Tan,2431,2431,4550324,243105 4114025 4219765 4541238 4542398,2026,110,,yes,,0.13,FLAT TILE 1X4,"likely (current, listed 2022)"
25269.dat,25,Bright Orange,25269,4,Orange,25269,25269,6173925,,2026,40,,yes,,0.05,1/4 CIRCLE TILE 1X1,"likely (current, listed 2022)"
3001.dat,19,Brick Yellow,3001,2,Tan,3001,3001,4114319,300105,2026,88,yes,yes,0.21,0.21,BRICK 2X4,listed on Pick a Brick (2025)
3001.dat,28,Sand Yellow,3001,69,Dark Tan,3001,3001,4247145,4497066,2026,38,,yes,,0.21,BRICK 2X4,"likely (current, listed 2022)"
3003.dat,19,Brick Yellow,3003,2,Tan,3003,3003,4114306,300305,2026,113,yes,yes,0.13,0.14,BRICK 2X2,listed on Pick a Brick (2025)
3003.dat,25,Bright Orange,3003,4,Orange,3003,3003,4153825,4119643,2026,37,yes,yes,0.13,0.14,BRICK 2X2,listed on Pick a Brick (2025)
3003.dat,28,Sand Yellow,3003,69,Dark Tan,3003,3003,4255416,4497068,2026,50,yes,yes,0.13,0.14,BRICK 2X2,listed on Pick a Brick (2025)
3004.dat,25,Bright Orange,3004,4,Orange,3004,3004,4121739,4613981,2026,41,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3005.dat,25,Bright Orange,3005,4,Orange,3005,3005,4173805,4119645,2026,43,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
30137.dat,70,Reddish Brown,30137,88,Reddish Brown,30137,30137,4211181,,2026,27,,yes,,0.19,PALISADE BRICK 1X4,"likely (current, listed 2022)"
3021.dat,25,Bright Orange,3021,4,Orange,3021,3021,4125278,,2026,51,,yes,,0.14,PLATE 2X3,"likely (current, listed 2022)"
3023b.dat,25,Bright Orange,3023,4,Orange,3023,3023,4177932,4122464 4163009,2026,115,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3023b.dat,47,Transparent,3023,12,Trans-Clear,3023,28653,6240204,302310 4167842 622540 6514001,2026,95,,yes,,0.1,PLATE 1X2,"likely (current, listed 2022)"
