Section,Element ID,Quantity,Description,LEGO colour
"Board, cinnamon sticks and leaves",4159553,5,Plate 1 x 1,Brick Yellow
"Board, cinnamon sticks and leaves",4113988,2,Plate 2 x 8,Brick Yellow
"Board, cinnamon sticks and leaves",4609726,1,Plate 8 x 16,Brick Yellow
"Board, cinnamon sticks and leaves",4125253,6,Tile 1 x 1,Brick Yellow
"Board, cinnamon sticks and leaves",4114026,8,Tile 1 x 2,Brick Yellow
"Board, cinnamon sticks and leaves",4550324,4,Tile 1 x 4,Brick Yellow
"Board, cinnamon sticks and leaves",4157277,6,Tile 1 x 6,Brick Yellow
"Board, cinnamon sticks and leaves",6253884,4,Plant Plate Round 1 x 1 with 3 Leaves,Bright Orange
"Board, cinnamon sticks and leaves",6229130,1,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green
"Board, cinnamon sticks and leaves",4211181,3,Brick 1 x 4 Log,Reddish Brown
Glass mug,4114306,1,Brick 2 x 2,Brick Yellow
Glass mug,4114319,4,Brick 2 x 4,Brick Yellow
Glass mug,4624223,1,Plate 8 x 8,Brick Yellow
Glass mug,4125253,4,Tile 1 x 1,Brick Yellow
Glass mug,4114026,6,Tile 1 x 2,Brick Yellow
Glass mug,4157103,2,Plate Round 1 x 1,Bright Orange
Glass mug,4538252,1,Antenna 1 x 4 with Flat Top (stick),Reddish Brown
Glass mug,6284586,6,Tile Round 1 x 1,Reddish Brown
Glass mug,4255416,4,Brick 2 x 2,Sand Yellow
Glass mug,4247145,16,Brick 2 x 4,Sand Yellow
Glass mug,6244904,4,Brick 1 x 2 without Bottom Tube,Transparent
Glass mug,6223655,20,Brick Round 1 x 1,Transparent
Glass mug,6245253,4,Panel 1 x 6 x 5,Transparent
Glass mug,6240204,19,Plate 1 x 2,Transparent
Glass mug,6254254,34,Tile 1 x 1,Transparent
Glass mug,403201,1,Plate Round 2 x 2 with Axle Hole,White
Glass mug,4515347,1,Plate Round 4 x 4 with Hole,White
Glass mug,6044691,1,Tile Round 2 x 2,White
Pumpkin,4173805,1,Brick 1 x 1,Bright Orange
Pumpkin,4121739,2,Brick 1 x 2,Bright Orange
Pumpkin,4153825,1,Brick 2 x 2,Bright Orange
Pumpkin,4524929,2,Plate 1 x 1,Bright Orange
Pumpkin,4177932,2,Plate 1 x 2,Bright Orange
Pumpkin,4125278,2,Plate 2 x 3,Bright Orange
Pumpkin,4504371,4,Slope 30 1 x 1 x 2/3,Bright Orange
Pumpkin,6173925,4,Tile Round 1 x 1 Quarter,Bright Orange
Pumpkin,6229130,1,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green
Pumpkin,4216581,1,Plate Round 1 x 1,Reddish Brown
