Element ID,Quantity,Description,LEGO colour,Design ID,BrickLink part,BrickLink colour,Alternate element IDs,Last year in a set,Availability (from data),Pick a Brick unit price seen (USD)
4114306,1,Brick 2 x 2,Brick Yellow,3003,3003,Tan,300305,2026,listed on Pick a Brick (2025),0.13
4114319,4,Brick 2 x 4,Brick Yellow,3001,3001,Tan,300105,2026,listed on Pick a Brick (2025),0.21
4159553,5,Plate 1 x 1,Brick Yellow,3024,3024,Tan,302405,2026,listed on Pick a Brick (2025),0.05
4113988,2,Plate 2 x 8,Brick Yellow,3034,3034,Tan,303405,2026,"likely (current, listed 2022)",0.25
4609726,1,Plate 8 x 16,Brick Yellow,92438,92438,Tan,,2026,"likely (current, listed 2022)",1.60
4624223,1,Plate 8 x 8,Brick Yellow,41539,41539,Tan,4178317 4502811,2026,"likely (current, listed 2022)",0.81
4125253,10,Tile 1 x 1,Brick Yellow,3070,3070,Tan,,2026,"likely (current, listed 2022)",0.06
4114026,14,Tile 1 x 2,Brick Yellow,3069,3069,Tan,,2027,"likely (current, listed 2022)",0.07
4550324,4,Tile 1 x 4,Brick Yellow,2431,2431,Tan,243105 4114025 4219765 4541238 4542398,2026,"likely (current, listed 2022)",0.13
4157277,6,Tile 1 x 6,Brick Yellow,6636,6636,Tan,4108151,2026,"likely (current, listed 2022)",0.14
4173805,1,Brick 1 x 1,Bright Orange,3005,3005,Orange,4119645,2026,listed on Pick a Brick (2025),0.07
4121739,2,Brick 1 x 2,Bright Orange,3004,3004,Orange,4613981,2026,listed on Pick a Brick (2025),0.10
4153825,1,Brick 2 x 2,Bright Orange,3003,3003,Orange,4119643,2026,listed on Pick a Brick (2025),0.13
6253884,4,Plant Plate Round 1 x 1 with 3 Leaves,Bright Orange,32607,32607,Orange,,2026,"likely (current, listed 2022)",0.06
4524929,2,Plate 1 x 1,Bright Orange,3024,3024,Orange,4122463 4160471 4203454,2026,listed on Pick a Brick (2025),0.05
4177932,2,Plate 1 x 2,Bright Orange,3023,3023,Orange,4122464 4163009,2026,listed on Pick a Brick (2025),0.07
4125278,2,Plate 2 x 3,Bright Orange,3021,3021,Orange,,2026,"likely (current, listed 2022)",0.14
4157103,2,Plate Round 1 x 1,Bright Orange,6141,4073,Orange,,2026,"likely (current, listed 2022)",0.06
4504371,4,Slope 30 1 x 1 x 2/3,Bright Orange,54200,54200,Orange,4248195,2026,"likely (current, listed 2022)",0.06
6173925,4,Tile Round 1 x 1 Quarter,Bright Orange,25269,25269,Orange,,2026,"likely (current, listed 2022)",0.05
6229130,2,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green,32607,32607,Green,,2026,"likely (current, listed 2022)",0.06
4538252,1,Antenna 1 x 4 with Flat Top (stick),Reddish Brown,3957,3957a,Reddish Brown,,2026,"likely (current, listed 2022)",0.04
4211181,3,Brick 1 x 4 Log,Reddish Brown,30137,30137,Reddish Brown,,2026,"likely (current, listed 2022)",0.19
4216581,1,Plate Round 1 x 1,Reddish Brown,6141,4073,Reddish Brown,,2026,"likely (current, listed 2022)",0.06
6284586,6,Tile Round 1 x 1,Reddish Brown,35381,98138,Reddish Brown,6133854,2026,"likely (current, listed 2022)",0.04
4255416,4,Brick 2 x 2,Sand Yellow,3003,3003,Dark Tan,4497068,2026,listed on Pick a Brick (2025),0.13
4247145,16,Brick 2 x 4,Sand Yellow,3001,3001,Dark Tan,4497066,2026,"likely (current, listed 2022)",0.21
6244904,4,Brick 1 x 2 without Bottom Tube,Transparent,35743,3065,Trans-Clear,306510 306540 6514262,2026,"likely (current, listed 2022)",0.12
6223655,20,Brick Round 1 x 1,Transparent,35390,3062,Trans-Clear,3006840 306210 306240 6012880 6514232,2026,"likely (current, listed 2022)",0.07
6245253,4,Panel 1 x 6 x 5,Transparent,35286,59349,Trans-Clear,4504229 4544978 6514106,2026,"likely (current, listed 2022)",0.89
6240204,19,Plate 1 x 2,Transparent,28653,3023,Trans-Clear,302310 4167842 622540 6514001,2026,"likely (current, listed 2022)",0.10
6254254,34,Tile 1 x 1,Transparent,35403,3070,Trans-Clear,4162145 6047501 6581822,2026,"likely (current, listed 2022)",0.06
403201,1,Plate Round 2 x 2 with Axle Hole,White,4032,4032,White,6601914,2026,"likely (current, listed 2022)",0.08
4515347,1,Plate Round 4 x 4 with Hole,White,60474,60474,White,6564904,2026,"likely (current, listed 2022)",0.21
6044691,1,Tile Round 2 x 2,White,14769,14769,White,6601846,2026,"likely (current, listed 2022)",0.08
