Element ID,Quantity,Description,LEGO colour,Unit price (USD),Price seen,Line cost (USD)
4159553,5,Plate 1 x 1,Brick Yellow,0.05,late 2025,0.25
4113988,2,Plate 2 x 8,Brick Yellow,0.25,2022,0.50
4609726,1,Plate 8 x 16,Brick Yellow,1.60,2022,1.60
4125253,10,Tile 1 x 1,Brick Yellow,0.06,2022,0.60
4114026,8,Tile 1 x 2,Brick Yellow,0.07,2022,0.56
4550324,4,Tile 1 x 4,Brick Yellow,0.13,2022,0.52
4157277,6,Tile 1 x 6,Brick Yellow,0.14,2022,0.84
4173805,1,Brick 1 x 1,Bright Orange,0.07,late 2025,0.07
4121739,2,Brick 1 x 2,Bright Orange,0.10,late 2025,0.20
4153825,1,Brick 2 x 2,Bright Orange,0.13,late 2025,0.13
6253884,4,Plant Plate Round 1 x 1 with 3 Leaves,Bright Orange,0.06,2022,0.24
4524929,2,Plate 1 x 1,Bright Orange,0.05,late 2025,0.10
4177932,2,Plate 1 x 2,Bright Orange,0.07,late 2025,0.14
4125278,2,Plate 2 x 3,Bright Orange,0.14,2022,0.28
4157103,2,Plate Round 1 x 1,Bright Orange,0.06,2022,0.12
4504371,4,Slope 30 1 x 1 x 2/3,Bright Orange,0.06,2022,0.24
6173925,4,Tile Round 1 x 1 Quarter,Bright Orange,0.05,2022,0.20
6229130,2,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green,0.06,2022,0.12
6177146,12,Tile 1 x 1,Medium Nougat,0.06,2022,0.72
4538252,1,Antenna 1 x 4 with Flat Top (stick),Reddish Brown,0.04,2022,0.04
4211181,3,Brick 1 x 4 Log,Reddish Brown,0.19,2022,0.57
4216581,1,Plate Round 1 x 1,Reddish Brown,0.06,2022,0.06
6284586,6,Tile Round 1 x 1,Reddish Brown,0.04,2022,0.24
300501,4,Brick 1 x 1,White,0.07,late 2025,0.28
300401,2,Brick 1 x 2,White,0.10,late 2025,0.20
301001,18,Brick 1 x 4,White,0.16,late 2025,2.88
300301,4,Brick 2 x 2,White,0.13,late 2025,0.52
300201,2,Brick 2 x 3,White,0.17,2022,0.34
4567449,20,Brick Round Corner 2 x 2 Macaroni,White,0.11,2022,2.20
371001,4,Plate 1 x 4,White,0.10,late 2025,0.40
366601,6,Plate 1 x 6,White,0.14,2022,0.84
379501,2,Plate 2 x 6,White,0.19,2022,0.38
303601,1,Plate 6 x 8,White,0.67,2022,0.67
403201,1,Plate Round 2 x 2 with Axle Hole,White,0.08,2022,0.08
4515347,1,Plate Round 4 x 4 with Hole,White,0.21,2022,0.21
6034044,2,Slope Curved 2 x 1,White,0.06,2022,0.12
306901,1,Tile 1 x 2,White,0.07,2022,0.07
663601,4,Tile 1 x 6,White,0.14,2022,0.56
6044691,1,Tile Round 2 x 2,White,0.08,2022,0.08
,158,Total for one copy,,,,18.17
