Section,Element ID,Quantity,Description,LEGO colour
"Board, cinnamon sticks and leaves",4159553,5,Plate 1 x 1,Brick Yellow
"Board, cinnamon sticks and leaves",4113988,2,Plate 2 x 8,Brick Yellow
"Board, cinnamon sticks and leaves",4609726,1,Plate 8 x 16,Brick Yellow
"Board, cinnamon sticks and leaves",4125253,10,Tile 1 x 1,Brick Yellow
"Board, cinnamon sticks and leaves",4114026,8,Tile 1 x 2,Brick Yellow
"Board, cinnamon sticks and leaves",4550324,4,Tile 1 x 4,Brick Yellow
"Board, cinnamon sticks and leaves",4157277,6,Tile 1 x 6,Brick Yellow
"Board, cinnamon sticks and leaves",6253884,4,Plant Plate Round 1 x 1 with 3 Leaves,Bright Orange
"Board, cinnamon sticks and leaves",6229130,1,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green
"Board, cinnamon sticks and leaves",4211181,3,Brick 1 x 4 Log,Reddish Brown
Mug,4157103,2,Plate Round 1 x 1,Bright Orange
Mug,6177146,12,Tile 1 x 1,Medium Nougat
Mug,4538252,1,Antenna 1 x 4 with Flat Top (stick),Reddish Brown
Mug,6284586,6,Tile Round 1 x 1,Reddish Brown
Mug,300501,4,Brick 1 x 1,White
Mug,300401,2,Brick 1 x 2,White
Mug,301001,18,Brick 1 x 4,White
Mug,300301,4,Brick 2 x 2,White
Mug,300201,2,Brick 2 x 3,White
Mug,4567449,20,Brick Round Corner 2 x 2 Macaroni,White
Mug,371001,4,Plate 1 x 4,White
Mug,366601,6,Plate 1 x 6,White
Mug,379501,2,Plate 2 x 6,White
Mug,303601,1,Plate 6 x 8,White
Mug,403201,1,Plate Round 2 x 2 with Axle Hole,White
Mug,4515347,1,Plate Round 4 x 4 with Hole,White
Mug,6034044,2,Slope Curved 2 x 1,White
Mug,306901,1,Tile 1 x 2,White
Mug,663601,4,Tile 1 x 6,White
Mug,6044691,1,Tile Round 2 x 2,White
Pumpkin,4173805,1,Brick 1 x 1,Bright Orange
Pumpkin,4121739,2,Brick 1 x 2,Bright Orange
Pumpkin,4153825,1,Brick 2 x 2,Bright Orange
Pumpkin,4524929,2,Plate 1 x 1,Bright Orange
Pumpkin,4177932,2,Plate 1 x 2,Bright Orange
Pumpkin,4125278,2,Plate 2 x 3,Bright Orange
Pumpkin,4504371,4,Slope 30 1 x 1 x 2/3,Bright Orange
Pumpkin,6173925,4,Tile Round 1 x 1 Quarter,Bright Orange
Pumpkin,6229130,1,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green
Pumpkin,4216581,1,Plate Round 1 x 1,Reddish Brown
