Element ID,Quantity,Description,LEGO colour,Design ID,BrickLink part,BrickLink colour,Alternate element IDs,Last year in a set,Availability (from data),Pick a Brick unit price seen (USD)
4159553,5,Plate 1 x 1,Brick Yellow,3024,3024,Tan,302405,2026,listed on Pick a Brick (2025),0.05
4113988,2,Plate 2 x 8,Brick Yellow,3034,3034,Tan,303405,2026,"likely (current, listed 2022)",0.25
4609726,1,Plate 8 x 16,Brick Yellow,92438,92438,Tan,,2026,"likely (current, listed 2022)",1.60
4125253,10,Tile 1 x 1,Brick Yellow,3070,3070,Tan,,2026,"likely (current, listed 2022)",0.06
4114026,8,Tile 1 x 2,Brick Yellow,3069,3069,Tan,,2027,"likely (current, listed 2022)",0.07
4550324,4,Tile 1 x 4,Brick Yellow,2431,2431,Tan,243105 4114025 4219765 4541238 4542398,2026,"likely (current, listed 2022)",0.13
4157277,6,Tile 1 x 6,Brick Yellow,6636,6636,Tan,4108151,2026,"likely (current, listed 2022)",0.14
4173805,1,Brick 1 x 1,Bright Orange,3005,3005,Orange,4119645,2026,listed on Pick a Brick (2025),0.07
4121739,2,Brick 1 x 2,Bright Orange,3004,3004,Orange,4613981,2026,listed on Pick a Brick (2025),0.10
4153825,1,Brick 2 x 2,Bright Orange,3003,3003,Orange,4119643,2026,listed on Pick a Brick (2025),0.13
6253884,4,Plant Plate Round 1 x 1 with 3 Leaves,Bright Orange,32607,32607,Orange,,2026,"likely (current, listed 2022)",0.06
4524929,2,Plate 1 x 1,Bright Orange,3024,3024,Orange,4122463 4160471 4203454,2026,listed on Pick a Brick (2025),0.05
4177932,2,Plate 1 x 2,Bright Orange,3023,3023,Orange,4122464 4163009,2026,listed on Pick a Brick (2025),0.07
4125278,2,Plate 2 x 3,Bright Orange,3021,3021,Orange,,2026,"likely (current, listed 2022)",0.14
4157103,2,Plate Round 1 x 1,Bright Orange,6141,4073,Orange,,2026,"likely (current, listed 2022)",0.06
4504371,4,Slope 30 1 x 1 x 2/3,Bright Orange,54200,54200,Orange,4248195,2026,"likely (current, listed 2022)",0.06
6173925,4,Tile Round 1 x 1 Quarter,Bright Orange,25269,25269,Orange,,2026,"likely (current, listed 2022)",0.05
6229130,2,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green,32607,32607,Green,,2026,"likely (current, listed 2022)",0.06
6177146,12,Tile 1 x 1,Medium Nougat,3070,3070,Medium Nougat,,2026,"likely (current, listed 2022)",0.06
4538252,1,Antenna 1 x 4 with Flat Top (stick),Reddish Brown,3957,3957a,Reddish Brown,,2026,"likely (current, listed 2022)",0.04
4211181,3,Brick 1 x 4 Log,Reddish Brown,30137,30137,Reddish Brown,,2026,"likely (current, listed 2022)",0.19
4216581,1,Plate Round 1 x 1,Reddish Brown,6141,4073,Reddish Brown,,2026,"likely (current, listed 2022)",0.06
6284586,6,Tile Round 1 x 1,Reddish Brown,35381,98138,Reddish Brown,6133854,2026,"likely (current, listed 2022)",0.04
300501,4,Brick 1 x 1,White,3005,3005,White,300551 6548258 6552096,2026,listed on Pick a Brick (2025),0.07
300401,2,Brick 1 x 2,White,3004,3004,White,4613964 6548257,2026,listed on Pick a Brick (2025),0.10
301001,18,Brick 1 x 4,White,3010,3010,White,6550135,2026,listed on Pick a Brick (2025),0.16
300301,4,Brick 2 x 2,White,3003,3003,White,4103592 6548256 6552095,2026,listed on Pick a Brick (2025),0.13
300201,2,Brick 2 x 3,White,3002,3002,White,300251 6550133,2026,"likely (current, listed 2022)",0.17
4567449,20,Brick Round Corner 2 x 2 Macaroni,White,85080,85080,White,4543237 6078115 6619303,2026,"likely (current, listed 2022)",0.11
371001,4,Plate 1 x 4,White,3710,3710,White,371051 6548266 6552108,2026,listed on Pick a Brick (2025),0.10
366601,6,Plate 1 x 6,White,3666,3666,White,6548265 6552107,2026,"likely (current, listed 2022)",0.14
379501,2,Plate 2 x 6,White,3795,3795,White,6550146,2027,"likely (current, listed 2022)",0.19
303601,1,Plate 6 x 8,White,3036,3036,White,303651,2026,"likely (current, listed 2022)",0.67
403201,1,Plate Round 2 x 2 with Axle Hole,White,4032,4032,White,6601914,2026,"likely (current, listed 2022)",0.08
4515347,1,Plate Round 4 x 4 with Hole,White,60474,60474,White,6564904,2026,"likely (current, listed 2022)",0.21
6034044,2,Slope Curved 2 x 1,White,11477,11477,White,6548276 6552145,2026,"likely (current, listed 2022)",0.06
306901,1,Tile 1 x 2,White,3069,3069,White,6548264,2026,"likely (current, listed 2022)",0.07
663601,4,Tile 1 x 6,White,6636,6636,White,6548296,2026,"likely (current, listed 2022)",0.14
6044691,1,Tile Round 2 x 2,White,14769,14769,White,6601846,2026,"likely (current, listed 2022)",0.08
