Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
1,4159553,5,PLATE 1X1,Brick Yellow,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,,,302405,3024 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4159553
2,4113988,2,PLATE 2X8,Brick Yellow,3034,Plate 2 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,,,303405,3034 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4113988
3,4609726,1,PLATE 8X16,Brick Yellow,92438,Plate 8 x 16,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,1.6,2022,,,,92438 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4609726
4,4125253,10,FLAT TILE 1X1,Brick Yellow,3070,Tile 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,3070 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4125253
5,4114026,8,FLAT TILE 1X2,Brick Yellow,3069,Tile 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026 (including sets listed for 2027),0.07,2022,,,,3069 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4114026
6,4550324,4,FLAT TILE 1X4,Brick Yellow,2431,Tile 1 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,,,243105 4114025 4219765 4541238 4542398,2431 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4550324
7,4157277,6,FLAT TILE 1X6,Brick Yellow,6636,Tile 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,4108151,6636 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4157277
8,4173805,1,BRICK 1X1,Bright Orange,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,,,4119645,3005 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4173805
9,4121739,2,BRICK 1X2,Bright Orange,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,,4613981,,3004 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4121739
10,4153825,1,BRICK 2X2,Bright Orange,3003,Brick 2 x 2,On Pick a Brick (late-2025 listing),0.13,late 2025,,,4119643,3003 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4153825
11,6253884,4,"PLANT, W/ PLATE 1X1, NO. 1",Bright Orange,32607,Plant Plate Round 1 x 1 with 3 Leaves,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,32607 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6253884
12,4524929,2,PLATE 1X1,Bright Orange,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,,,4122463 4160471 4203454,3024 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4524929
13,4177932,2,PLATE 1X2,Bright Orange,3023,Plate 1 x 2,On Pick a Brick (late-2025 listing),0.07,late 2025,,,4122464 4163009,3023 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4177932
14,4125278,2,PLATE 2X3,Bright Orange,3021,Plate 2 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,3021 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4125278
15,4157103,2,ROUND PLATE 1X1,Bright Orange,6141,Plate Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,4073 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4157103
16,4504371,4,"ROOF TILE 1X1X2/3, ABS",Bright Orange,54200,Slope 30 1 x 1 x 2/3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,4248195,54200 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4504371
