ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
11477.dat,15,White,11477,1,White,11477,11477,6034044,6548276 6552145,2026,200,,yes,,0.06,PLATE W. BOW 1X2X2/3,"likely (current, listed 2022)"
11477.dat,72,Dark Stone Grey,11477,85,Dark Bluish Gray,11477,11477,6029948,,2026,119,,yes,,0.06,PLATE W. BOW 1X2X2/3,"likely (current, listed 2022)"
2335.dat,1,Bright Blue,80326,7,Blue,80326,80326,6365486,,2026,6,,,,,,likely (in current sets)
2335.dat,4,Bright Red,80326,5,Red,80326,80326,6365459,,2026,13,,,,,,likely (in current sets)
2431.dat,19,Brick Yellow,2431,2,Tan,2431,2431,4550324,243105 4114025 4219765 4541238 4542398,2026,110,,yes,,0.13,FLAT TILE 1X4,"likely (current, listed 2022)"
2431.dat,71,Medium Stone Grey,2431,86,Light Bluish Gray,2431,2431,4211356,2431194,2026,178,,yes,,0.13,FLAT TILE 1X4,"likely (current, listed 2022)"
2431.dat,72,Dark Stone Grey,2431,85,Dark Bluish Gray,2431,2431,4211053,,2026,126,,yes,,0.13,FLAT TILE 1X4,"likely (current, listed 2022)"
2445.dat,15,White,2445,1,White,2445,2445,244501,6552091,2026,49,,yes,,0.35,PLATE 2X12,"likely (current, listed 2022)"
2445.dat,72,Dark Stone Grey,2445,85,Dark Bluish Gray,2445,2445,4211067,,2026,77,,yes,,0.35,PLATE 2X12,"likely (current, listed 2022)"
3004.dat,0,Black,3004,11,Black,3004,3004,300426,,2026,198,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3004.dat,15,White,3004,1,White,3004,3004,300401,4613964 6548257,2026,249,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3004.dat,72,Dark Stone Grey,3004,85,Dark Bluish Gray,3004,3004,4211088,,2026,141,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3005.dat,0,Black,3005,11,Black,3005,3005,300526,,2026,200,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,15,White,3005,1,White,3005,3005,300501,300551 6548258 6552096,2026,234,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3005.dat,72,Dark Stone Grey,3005,85,Dark Bluish Gray,3005,3005,4211098,,2026,142,yes,yes,0.07,0.07,BRICK 1X1,listed on Pick a Brick (2025)
3008.dat,15,White,3008,1,White,3008,3008,300801,6550134,2026,66,,yes,,0.29,BRICK 1X8,"likely (current, listed 2022)"
3009.dat,15,White,3009,1,White,3009,3009,300901,300951 6548259 6552097,2026,134,,yes,,0.25,BRICK 1X6,"likely (current, listed 2022)"
3010.dat,15,White,3010,1,White,3010,3010,301001,6550135,2026,186,yes,yes,0.16,0.15,BRICK 1X4,listed on Pick a Brick (2025)
3021.dat,2,Dark Green,3021,6,Green,3021,3021,302128,,2026,81,,yes,,0.14,PLATE 2X3,"likely (current, listed 2022)"
3021.dat,15,White,3021,1,White,3021,3021,302101,6550136,2026,285,,yes,,0.14,PLATE 2X3,"likely (current, listed 2022)"
3021.dat,71,Medium Stone Grey,3021,86,Light Bluish Gray,3021,3021,4211396,,2026,243,,yes,,0.14,PLATE 2X3,"likely (current, listed 2022)"
3023b.dat,2,Dark Green,3023,6,Green,3023,3023,302328,,2026,158,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3023b.dat,15,White,3023,1,White,3023,3023,302301,6548261 6552100,2026,520,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3023b.dat,19,Brick Yellow,3023,2,Tan,3023,3023,4113917,302305,2026,309,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3023b.dat,288,Earth Green,3023,80,Dark Green,3023,3023,6013102,4264404 6013797 6618076,2026,63,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3024.dat,2,Dark Green,3024,6,Green,3024,3024,302428,,2026,82,yes,yes,0.05,0.06,PLATE 1X1,listed on Pick a Brick (2025)
3024.dat,15,White,3024,1,White,3024,3024,302401,6548262,2026,338,yes,yes,0.05,0.06,PLATE 1X1,listed on Pick a Brick (2025)
