Section,Element ID,Quantity,Description,LEGO colour
"Grounds, porte-cochere, flowers and flags",6116604,2,Bar 4L (Light Sword Blade),Black
"Grounds, porte-cochere, flowers and flags",4159553,2,Plate 1 x 1,Brick Yellow
"Grounds, porte-cochere, flowers and flags",4113917,4,Plate 1 x 2,Brick Yellow
"Grounds, porte-cochere, flowers and flags",4125253,6,Tile 1 x 1,Brick Yellow
"Grounds, porte-cochere, flowers and flags",4114026,3,Tile 1 x 2,Brick Yellow
"Grounds, porte-cochere, flowers and flags",4550324,7,Tile 1 x 4,Brick Yellow
"Grounds, porte-cochere, flowers and flags",4157277,15,Tile 1 x 6,Brick Yellow
"Grounds, porte-cochere, flowers and flags",4185177,4,Tile 2 x 2,Brick Yellow
"Grounds, porte-cochere, flowers and flags",6365486,1,Flag 2 x 2 Square (design 80326),Bright Blue
"Grounds, porte-cochere, flowers and flags",6365459,1,Flag 2 x 2 Square (design 80326),Bright Red
"Grounds, porte-cochere, flowers and flags",614121,4,Plate Round 1 x 1,Bright Red
"Grounds, porte-cochere, flowers and flags",302428,2,Plate 1 x 1,Dark Green
"Grounds, porte-cochere, flowers and flags",302328,4,Plate 1 x 2,Dark Green
"Grounds, porte-cochere, flowers and flags",366628,2,Plate 1 x 6,Dark Green
"Grounds, porte-cochere, flowers and flags",346028,8,Plate 1 x 8,Dark Green
"Grounds, porte-cochere, flowers and flags",383228,2,Plate 2 x 10,Dark Green
"Grounds, porte-cochere, flowers and flags",302128,2,Plate 2 x 3,Dark Green
"Grounds, porte-cochere, flowers and flags",4116671,4,Plate 4 x 6,Dark Green
"Grounds, porte-cochere, flowers and flags",4507311,10,Plate 6 x 8,Dark Green
"Grounds, porte-cochere, flowers and flags",4211088,3,Brick 1 x 2,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",6133611,1,Plate 1 x 12,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",6004927,6,Plate 16 x 16,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4211067,1,Plate 2 x 12,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4211115,2,Plate 4 x 6,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4211061,1,Plate 4 x 8,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4211135,18,Slope 45 2 x 1,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",6029948,8,Slope Curved 2 x 1,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4211053,1,Tile 1 x 4,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4211008,1,Tile 1 x 8,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4211055,2,Tile 2 x 2,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",4560184,6,Tile 2 x 4,Dark Stone Grey
"Grounds, porte-cochere, flowers and flags",6055169,2,Plate 1 x 1,Earth Green
"Grounds, porte-cochere, flowers and flags",6013102,1,Plate 1 x 2,Earth Green
"Grounds, porte-cochere, flowers and flags",6013975,2,Plate 1 x 3,Earth Green
