Element ID,Quantity,Description,LEGO colour,Design ID,BrickLink part,BrickLink colour,Alternate element IDs,Last year in a set,Availability (from data),Pick a Brick unit price seen (USD)
6116604,2,Bar 4L (Light Sword Blade),Black,21462,30374,Black,3037426 4140303,2026,"likely (current, listed 2022)",0.06
300526,360,Brick 1 x 1,Black,3005,3005,Black,,2026,listed on Pick a Brick (2025),0.07
300426,9,Brick 1 x 2,Black,3004,3004,Black,,2026,listed on Pick a Brick (2025),0.10
4159553,2,Plate 1 x 1,Brick Yellow,3024,3024,Tan,302405,2026,listed on Pick a Brick (2025),0.05
4113917,4,Plate 1 x 2,Brick Yellow,3023,3023,Tan,302305,2026,listed on Pick a Brick (2025),0.07
4125253,6,Tile 1 x 1,Brick Yellow,3070,3070,Tan,,2026,"likely (current, listed 2022)",0.06
4114026,3,Tile 1 x 2,Brick Yellow,3069,3069,Tan,,2027,"likely (current, listed 2022)",0.07
4550324,7,Tile 1 x 4,Brick Yellow,2431,2431,Tan,243105 4114025 4219765 4541238 4542398,2026,"likely (current, listed 2022)",0.13
4157277,15,Tile 1 x 6,Brick Yellow,6636,6636,Tan,4108151,2026,"likely (current, listed 2022)",0.14
4185177,4,Tile 2 x 2,Brick Yellow,3068,3068,Tan,306805 4114002,2026,"likely (current, listed 2022)",0.08
6365486,1,Flag 2 x 2 Square (design 80326),Bright Blue,80326,80326,Blue,,2026,likely (in current sets),
6365459,1,Flag 2 x 2 Square (design 80326),Bright Red,80326,80326,Red,,2026,likely (in current sets),
614121,4,Plate Round 1 x 1,Bright Red,6141,4073,Red,,2026,"likely (current, listed 2022)",0.06
4504379,16,Slope 30 1 x 1 x 2/3,Bright Red,54200,54200,Red,4244371 5074621,2026,"likely (current, listed 2022)",0.06
6229130,24,Plant Plate Round 1 x 1 with 3 Leaves,Dark Green,32607,32607,Green,,2026,"likely (current, listed 2022)",0.06
302428,2,Plate 1 x 1,Dark Green,3024,3024,Green,,2026,listed on Pick a Brick (2025),0.05
