Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
1,6116604,2,LIGHT SWORD - BLADE,Black,21462,Bar 4L (Light Sword Blade),In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,3037426 4140303,30374 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6116604
2,300526,360,BRICK 1X1,Black,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,,,3005 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300526
3,300426,9,BRICK 1X2,Black,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,,,,3004 / Black,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300426
4,4159553,2,PLATE 1X1,Brick Yellow,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,,,302405,3024 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4159553
5,4113917,4,PLATE 1X2,Brick Yellow,3023,Plate 1 x 2,On Pick a Brick (late-2025 listing),0.07,late 2025,,,302305,3023 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4113917
6,4125253,6,FLAT TILE 1X1,Brick Yellow,3070,Tile 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,3070 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4125253
7,4114026,3,FLAT TILE 1X2,Brick Yellow,3069,Tile 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026 (including sets listed for 2027),0.07,2022,,,,3069 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4114026
8,4550324,7,FLAT TILE 1X4,Brick Yellow,2431,Tile 1 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,,,243105 4114025 4219765 4541238 4542398,2431 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4550324
9,4157277,15,FLAT TILE 1X6,Brick Yellow,6636,Tile 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,,4108151,6636 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4157277
10,4185177,4,FLAT TILE 2X2,Brick Yellow,3068,Tile 2 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.08,2022,,,306805 4114002,3068 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4185177
