elementId,quantity
6116604,2
300526,360
300426,9
4159553,2
4113917,4
4125253,6
4114026,3
4550324,7
4157277,15
4185177,4
6365486,1
6365459,1
614121,4
4504379,16
6229130,24
302428,2
302328,4
366628,2
346028,8
383228,2
302128,2
4116671,4
4507311,10
4211098,4
4211088,10
4529240,2
4211010,2
4257526,1
4211001,1
4210998,1
6004927,6
4210678,1
4211067,1
4243831,2
4211115,2
4211061,1
4211114,1
4211135,22
4221745,64
6029948,8
4210848,4
4211053,3
4210651,4
4211008,11
4211055,8
6055169,2
6013102,1
6013975,2
6020923,17
4211412,2
4211399,2
4211425,2
4211396,16
4211452,10
4211406,6
4211400,2
4558169,18
4211356,48
4211549,12
4211481,18
4211183,60
365901,2
4620761,3
300501,384
300401,25
362201,16
301001,10
300901,60
300801,40
306201,2
302401,90
447701,34
4514842,23
302301,1
362301,20
371001,20
366601,34
346001,30
244501,1
302101,38
379501,13
303401,31
4168072,1
4144012,14
6034044,2
654101,4
370001,4
