Part,Color,Quantity
30374,0,2
3005,0,360
3004,0,9
3024,19,2
3023,19,4
3070b,19,6
3069b,19,3
2431,19,7
6636,19,15
3068b,19,4
80326,1,1
80326,4,1
6141,4,4
54200,4,16
32607,2,24
3024,2,2
3023,2,4
3666,2,2
3460,2,8
3832,2,2
3021,2,2
3032,2,4
3036,2,10
3005,72,4
3004,72,10
59900,72,2
4740,72,2
4477,72,1
3710,72,1
3460,72,1
91405,72,6
3832,72,1
2445,72,1
3031,72,2
3032,72,2
3035,72,1
3033,72,1
3040b,72,22
4460b,72,64
11477,72,8
3070b,72,4
2431,72,3
6636,72,4
4162,72,11
3068b,72,8
3024,288,2
3023,288,1
3623,288,2
3710,288,17
3062b,71,2
3024,71,2
3460,71,2
3021,71,16
3795,71,10
3034,71,6
3028,71,2
63864,71,18
2431,71,48
6636,71,12
4162,71,18
3062b,70,60
3659,15,2
92950,15,3
3005,15,384
3004,15,25
3622,15,16
3010,15,10
3009,15,60
3008,15,40
3062b,15,2
3024,15,90
4477,15,34
60479,15,23
3023,15,1
3623,15,20
3710,15,20
3666,15,34
3460,15,30
2445,15,1
3021,15,38
3795,15,13
3034,15,31
3029,15,1
3958,15,14
11477,15,2
6541,15,4
3700,15,4
