ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
3001.dat,19,Brick Yellow,3001,2,Tan,3001,3001,4114319,300105,2026,88,yes,yes,0.21,0.21,BRICK 2X4,listed on Pick a Brick (2025)
3003.dat,25,Bright Orange,3003,4,Orange,3003,3003,4153825,4119643,2026,37,yes,yes,0.13,0.14,BRICK 2X2,listed on Pick a Brick (2025)
3004.dat,84,Medium Nougat,3004,150,Medium Nougat,3004,3004,4569382,,2026,69,yes,yes,0.1,0.11,BRICK 1X2,listed on Pick a Brick (2025)
3020.dat,19,Brick Yellow,3020,2,Tan,3020,3020,4114309,302005,2026,245,yes,yes,0.14,0.14,PLATE 2X4,listed on Pick a Brick (2025)
3022.dat,15,White,3022,1,White,3022,3022,302201,4613976 6548260 6552099,2026,334,yes,yes,0.09,0.11,PLATE 2X2,listed on Pick a Brick (2025)
3022.dat,25,Bright Orange,3022,4,Orange,3022,3022,4159007,3022106 4122467 4613982,2026,82,yes,yes,0.09,0.11,PLATE 2X2,listed on Pick a Brick (2025)
3023b.dat,19,Brick Yellow,3023,2,Tan,3023,3023,4113917,302305,2026,309,yes,yes,0.07,0.07,PLATE 1X2,listed on Pick a Brick (2025)
3023b.dat,47,Transparent,3023,12,Trans-Clear,3023,28653,6240204,302310 4167842 622540 6514001,2026,95,,yes,,0.1,PLATE 1X2,"likely (current, listed 2022)"
3033.dat,15,White,3033,1,White,3033,3033,4528341,303301,2026,17,,yes,,0.86,PLATE 6X10,"likely (current, listed 2022)"
3062b.dat,47,Transparent,3062,12,Trans-Clear,3062b,35390,6223655,3006840 306210 306240 6012880 6514232,2026,75,,yes,,0.07,ROUND BRICK 1X1,"likely (current, listed 2022)"
3062b.dat,70,Reddish Brown,3062,88,Reddish Brown,3062b,3062,4211183,,2026,112,,yes,,0.06,ROUND BRICK 1X1,"likely (current, listed 2022)"
3068b.dat,15,White,3068,1,White,3068b,3068,306801,6548263,2026,176,,yes,,0.08,FLAT TILE 2X2,"likely (current, listed 2022)"
3069b.dat,15,White,3069,1,White,3069b,3069,306901,6548264,2026,320,,yes,,0.07,FLAT TILE 1X2,"likely (current, listed 2022)"
3070b.dat,15,White,3070,1,White,3070b,3070,307001,6550138,2026,243,,yes,,0.06,FLAT TILE 1X1,"likely (current, listed 2022)"
3070b.dat,47,Transparent,3070,12,Trans-Clear,3070b,35403,6254254,4162145 6047501 6581822,2026,42,,yes,,0.06,FLAT TILE 1X1,"likely (current, listed 2022)"
3958.dat,15,White,3958,1,White,3958,3958,4144012,395801 6552116,2026,38,,yes,,0.5,PLATE 6X6,"likely (current, listed 2022)"
4032a.dat,15,White,4032,1,White,4032a,4032,403201,6601914,2026,170,,yes,,0.08,PLATE 2X2 ROUND,"likely (current, listed 2022)"
4740.dat,15,White,4740,1,White,4740,4740,474001,6601845,2026,48,,yes,,0.07,PARABOLA Ø16,"likely (current, listed 2022)"
54200.dat,25,Bright Orange,54200,4,Orange,54200,54200,4504371,4248195,2026,47,,yes,,0.06,"ROOF TILE 1X1X2/3, ABS","likely (current, listed 2022)"
60474.dat,15,White,60474,1,White,60474,60474,4515347,6564904,2026,77,,yes,,0.21,PLATE 4X4 ROUND W. SNAP,"likely (current, listed 2022)"
60581.dat,47,Transparent,60581,12,Trans-Clear,60581,35323,6245269,4594686 6344088 6514156,2026,31,,yes,,0.38,WALL ELEMENT 1X4X3,"likely (current, listed 2022)"
6141.dat,15,White,4073,1,White,6141,6141,614101,6601919,2026,203,,yes,,0.06,ROUND PLATE 1X1,"likely (current, listed 2022)"
6141.dat,70,Reddish Brown,4073,88,Reddish Brown,6141,6141,4216581,,2026,140,,yes,,0.06,ROUND PLATE 1X1,"likely (current, listed 2022)"
6636.dat,15,White,6636,1,White,6636,6636,663601,6548296,2026,131,,yes,,0.14,FLAT TILE 1X6,"likely (current, listed 2022)"
85080.dat,15,White,85080,1,White,85080,85080,4567449,4543237 6078115 6619303,2026,37,,yes,,0.11,BRICK 2X2W.INSIDE AND OUTS.BOW,"likely (current, listed 2022)"
87079.dat,15,White,87079,1,White,87079,87079,4560178,6548271,2026,141,,yes,,0.21,FLAT TILE 2X4,"likely (current, listed 2022)"
98138.dat,15,White,98138,1,White,98138,35381,6284572,4646844 6001549 6564903,2026,131,,yes,,0.04,"FLAT TILE 1X1, ROUND","likely (current, listed 2022)"
98138.dat,19,Brick Yellow,98138,2,Tan,98138,35381,6284573,6139649,2026,54,,yes,,0.04,"FLAT TILE 1X1, ROUND","likely (current, listed 2022)"
98138.dat,70,Reddish Brown,98138,88,Reddish Brown,98138,35381,6284586,6133854,2026,68,,yes,,0.04,"FLAT TILE 1X1, ROUND","likely (current, listed 2022)"
98138.dat,84,Medium Nougat,98138,150,Medium Nougat,98138,35381,6284589,6055383,2026,32,,yes,,0.04,"FLAT TILE 1X1, ROUND","likely (current, listed 2022)"
