Element ID,Quantity,Description,LEGO colour,Unit price (USD),Price seen,Line cost (USD)
4114319,2,Brick 2 x 4,Brick Yellow,0.21,late 2025,0.42
4113917,2,Plate 1 x 2,Brick Yellow,0.07,late 2025,0.14
4114309,1,Plate 2 x 4,Brick Yellow,0.14,late 2025,0.14
6284573,2,Tile Round 1 x 1,Brick Yellow,0.04,2022,0.08
4153825,1,Brick 2 x 2,Bright Orange,0.13,late 2025,0.13
4159007,1,Plate 2 x 2,Bright Orange,0.09,late 2025,0.09
4504371,4,Slope 30 1 x 1 x 2/3,Bright Orange,0.06,2022,0.24
4569382,30,Brick 1 x 2,Medium Nougat,0.10,late 2025,3.00
6284589,10,Tile Round 1 x 1,Medium Nougat,0.04,2022,0.40
4211183,2,Brick Round 1 x 1,Reddish Brown,0.06,2022,0.12
4216581,3,Plate Round 1 x 1,Reddish Brown,0.06,2022,0.18
6284586,7,Tile Round 1 x 1,Reddish Brown,0.04,2022,0.28
6223655,3,Brick Round 1 x 1,Transparent,0.07,2022,0.21
6245269,8,Panel 1 x 4 x 3,Transparent,0.38,2022,3.04
6240204,3,Plate 1 x 2,Transparent,0.10,2022,0.30
6254254,22,Tile 1 x 1,Transparent,0.06,2022,1.32
4567449,4,Brick Round Corner 2 x 2 Macaroni,White,0.11,2022,0.44
474001,1,Dish 2 x 2 Inverted,White,0.07,2022,0.07
302201,1,Plate 2 x 2,White,0.09,late 2025,0.09
4528341,2,Plate 6 x 10,White,0.86,2022,1.72
4144012,1,Plate 6 x 6,White,0.50,2022,0.50
614101,1,Plate Round 1 x 1,White,0.06,2022,0.06
403201,1,Plate Round 2 x 2 with Axle Hole,White,0.08,2022,0.08
4515347,2,Plate Round 4 x 4 with Hole,White,0.21,2022,0.42
307001,11,Tile 1 x 1,White,0.06,2022,0.66
306901,13,Tile 1 x 2,White,0.07,2022,0.91
663601,1,Tile 1 x 6,White,0.14,2022,0.14
306801,4,Tile 2 x 2,White,0.08,2022,0.32
4560178,2,Tile 2 x 4,White,0.21,2022,0.42
6284572,4,Tile Round 1 x 1,White,0.04,2022,0.16
,149,Total for one copy,,,,16.08
