Section,Element ID,Quantity,Description,LEGO colour
Board and spices,6284589,4,Tile Round 1 x 1,Medium Nougat
Board and spices,4216581,3,Plate Round 1 x 1,Reddish Brown
Board and spices,6284586,6,Tile Round 1 x 1,Reddish Brown
Board and spices,4528341,2,Plate 6 x 10,White
Board and spices,307001,11,Tile 1 x 1,White
Board and spices,306901,9,Tile 1 x 2,White
Board and spices,663601,1,Tile 1 x 6,White
Board and spices,306801,4,Tile 2 x 2,White
Board and spices,4560178,2,Tile 2 x 4,White
Glass mug,4114319,2,Brick 2 x 4,Brick Yellow
Glass mug,4113917,2,Plate 1 x 2,Brick Yellow
Glass mug,4114309,1,Plate 2 x 4,Brick Yellow
Glass mug,6284573,2,Tile Round 1 x 1,Brick Yellow
Glass mug,4569382,30,Brick 1 x 2,Medium Nougat
Glass mug,6284589,6,Tile Round 1 x 1,Medium Nougat
Glass mug,4211183,2,Brick Round 1 x 1,Reddish Brown
Glass mug,6284586,1,Tile Round 1 x 1,Reddish Brown
Glass mug,6223655,3,Brick Round 1 x 1,Transparent
Glass mug,6245269,8,Panel 1 x 4 x 3,Transparent
Glass mug,6240204,3,Plate 1 x 2,Transparent
Glass mug,6254254,22,Tile 1 x 1,Transparent
Glass mug,474001,1,Dish 2 x 2 Inverted,White
Glass mug,4144012,1,Plate 6 x 6,White
Glass mug,614101,1,Plate Round 1 x 1,White
Glass mug,403201,1,Plate Round 2 x 2 with Axle Hole,White
Glass mug,4515347,1,Plate Round 4 x 4 with Hole,White
Glass mug,6284572,4,Tile Round 1 x 1,White
Pumpkin bowl,4153825,1,Brick 2 x 2,Bright Orange
Pumpkin bowl,4159007,1,Plate 2 x 2,Bright Orange
Pumpkin bowl,4504371,4,Slope 30 1 x 1 x 2/3,Bright Orange
Pumpkin bowl,4567449,4,Brick Round Corner 2 x 2 Macaroni,White
Pumpkin bowl,302201,1,Plate 2 x 2,White
Pumpkin bowl,4515347,1,Plate Round 4 x 4 with Hole,White
Pumpkin bowl,306901,4,Tile 1 x 2,White
