Element ID,Quantity,Description,LEGO colour,Design ID,BrickLink part,BrickLink colour,Alternate element IDs,Last year in a set,Availability (from data),Pick a Brick unit price seen (USD)
4114319,2,Brick 2 x 4,Brick Yellow,3001,3001,Tan,300105,2026,listed on Pick a Brick (2025),0.21
4113917,2,Plate 1 x 2,Brick Yellow,3023,3023,Tan,302305,2026,listed on Pick a Brick (2025),0.07
4114309,1,Plate 2 x 4,Brick Yellow,3020,3020,Tan,302005,2026,listed on Pick a Brick (2025),0.14
6284573,2,Tile Round 1 x 1,Brick Yellow,35381,98138,Tan,6139649,2026,"likely (current, listed 2022)",0.04
4153825,1,Brick 2 x 2,Bright Orange,3003,3003,Orange,4119643,2026,listed on Pick a Brick (2025),0.13
4159007,1,Plate 2 x 2,Bright Orange,3022,3022,Orange,3022106 4122467 4613982,2026,listed on Pick a Brick (2025),0.09
4504371,4,Slope 30 1 x 1 x 2/3,Bright Orange,54200,54200,Orange,4248195,2026,"likely (current, listed 2022)",0.06
4569382,30,Brick 1 x 2,Medium Nougat,3004,3004,Medium Nougat,,2026,listed on Pick a Brick (2025),0.10
6284589,10,Tile Round 1 x 1,Medium Nougat,35381,98138,Medium Nougat,6055383,2026,"likely (current, listed 2022)",0.04
4211183,2,Brick Round 1 x 1,Reddish Brown,3062,3062,Reddish Brown,,2026,"likely (current, listed 2022)",0.06
4216581,3,Plate Round 1 x 1,Reddish Brown,6141,4073,Reddish Brown,,2026,"likely (current, listed 2022)",0.06
6284586,7,Tile Round 1 x 1,Reddish Brown,35381,98138,Reddish Brown,6133854,2026,"likely (current, listed 2022)",0.04
6223655,3,Brick Round 1 x 1,Transparent,35390,3062,Trans-Clear,3006840 306210 306240 6012880 6514232,2026,"likely (current, listed 2022)",0.07
6245269,8,Panel 1 x 4 x 3,Transparent,35323,60581,Trans-Clear,4594686 6344088 6514156,2026,"likely (current, listed 2022)",0.38
6240204,3,Plate 1 x 2,Transparent,28653,3023,Trans-Clear,302310 4167842 622540 6514001,2026,"likely (current, listed 2022)",0.10
6254254,22,Tile 1 x 1,Transparent,35403,3070,Trans-Clear,4162145 6047501 6581822,2026,"likely (current, listed 2022)",0.06
4567449,4,Brick Round Corner 2 x 2 Macaroni,White,85080,85080,White,4543237 6078115 6619303,2026,"likely (current, listed 2022)",0.11
474001,1,Dish 2 x 2 Inverted,White,4740,4740,White,6601845,2026,"likely (current, listed 2022)",0.07
302201,1,Plate 2 x 2,White,3022,3022,White,4613976 6548260 6552099,2026,listed on Pick a Brick (2025),0.09
4528341,2,Plate 6 x 10,White,3033,3033,White,303301,2026,"likely (current, listed 2022)",0.86
4144012,1,Plate 6 x 6,White,3958,3958,White,395801 6552116,2026,"likely (current, listed 2022)",0.50
614101,1,Plate Round 1 x 1,White,6141,4073,White,6601919,2026,"likely (current, listed 2022)",0.06
403201,1,Plate Round 2 x 2 with Axle Hole,White,4032,4032,White,6601914,2026,"likely (current, listed 2022)",0.08
4515347,2,Plate Round 4 x 4 with Hole,White,60474,60474,White,6564904,2026,"likely (current, listed 2022)",0.21
307001,11,Tile 1 x 1,White,3070,3070,White,6550138,2026,"likely (current, listed 2022)",0.06
306901,13,Tile 1 x 2,White,3069,3069,White,6548264,2026,"likely (current, listed 2022)",0.07
663601,1,Tile 1 x 6,White,6636,6636,White,6548296,2026,"likely (current, listed 2022)",0.14
306801,4,Tile 2 x 2,White,3068,3068,White,6548263,2026,"likely (current, listed 2022)",0.08
4560178,2,Tile 2 x 4,White,87079,87079,White,6548271,2026,"likely (current, listed 2022)",0.21
6284572,4,Tile Round 1 x 1,White,35381,98138,White,4646844 6001549 6564903,2026,"likely (current, listed 2022)",0.04
