Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
1,4114319,2,BRICK 2X4,Brick Yellow,3001,Brick 2 x 4,On Pick a Brick (late-2025 listing),0.21,late 2025,,,300105,3001 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4114319
2,4113917,2,PLATE 1X2,Brick Yellow,3023,Plate 1 x 2,On Pick a Brick (late-2025 listing),0.07,late 2025,,,302305,3023 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4113917
3,4114309,1,PLATE 2X4,Brick Yellow,3020,Plate 2 x 4,On Pick a Brick (late-2025 listing),0.14,late 2025,,,302005,3020 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4114309
4,6284573,2,"FLAT TILE 1X1, ROUND",Brick Yellow,35381,Tile Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.04,2022,,,6139649,98138 / Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6284573
5,4153825,1,BRICK 2X2,Bright Orange,3003,Brick 2 x 2,On Pick a Brick (late-2025 listing),0.13,late 2025,,,4119643,3003 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4153825
6,4159007,1,PLATE 2X2,Bright Orange,3022,Plate 2 x 2,On Pick a Brick (late-2025 listing),0.09,late 2025,,4613982,3022106 4122467,3022 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4159007
7,4504371,4,"ROOF TILE 1X1X2/3, ABS",Bright Orange,54200,Slope 30 1 x 1 x 2/3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,4248195,54200 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4504371
8,4569382,30,BRICK 1X2,Medium Nougat,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,yes,,,3004 / Medium Nougat,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4569382
9,6284589,10,"FLAT TILE 1X1, ROUND",Medium Nougat,35381,Tile Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.04,2022,,,6055383,98138 / Medium Nougat,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6284589
10,4211183,2,ROUND BRICK 1X1,Reddish Brown,3062,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,3062 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211183
11,4216581,3,ROUND PLATE 1X1,Reddish Brown,6141,Plate Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,4073 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4216581
12,6284586,7,"FLAT TILE 1X1, ROUND",Reddish Brown,35381,Tile Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.04,2022,,,6133854,98138 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6284586
13,6223655,3,ROUND BRICK 1X1,Transparent,35390,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,6514232,3006840 306210 306240 6012880,3062 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6223655
14,6245269,8,WALL ELEMENT 1X4X3,Transparent,35323,Panel 1 x 4 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.38,2022,,6514156,4594686 6344088,60581 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6245269
15,6240204,3,PLATE 1X2,Transparent,28653,Plate 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.1,2022,,6514001,302310 4167842 622540,3023 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6240204
16,6254254,22,FLAT TILE 1X1,Transparent,35403,Tile 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,yes,6581822,4162145 6047501,3070 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6254254
17,4567449,4,BRICK 2X2W.INSIDE AND OUTS.BOW,White,85080,Brick Round Corner 2 x 2 Macaroni,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,,6619303,4543237 6078115,85080 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4567449
18,474001,1,PARABOLA Ø16,White,4740,Dish 2 x 2 Inverted,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,6601845,,4740 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=474001
19,302201,1,PLATE 2X2,White,3022,Plate 2 x 2,On Pick a Brick (late-2025 listing),0.09,late 2025,,6552099,4613976 6548260,3022 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302201
20,4528341,2,PLATE 6X10,White,3033,Plate 6 x 10,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.86,2022,,,303301,3033 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4528341
